clade,terminal_class,eligible_tips,AUC_coarse,AUC_intermediate,AUC_fine,p_coarse_signal,p_intermediate_signal,p_fine_signal,p_winner_gt_runner,hold_reasons
Cornus,PROFILE_SIGNALLED_TIED,37,0.6853070175438597,0.6853070175438597,0.6853070175438597,0.0008,0.0008,0.0008,1.0,
Crataegus,HOLD_INSUFFICIENT_COMMON_FRAME_OR_STATE_VARIATION,38,,,,,,,,FINE_STATES_LT_2;INTERMEDIATE_STATES_LT_2;COARSE_STATES_LT_2
Cryptocarya,HOLD_INSUFFICIENT_COMMON_FRAME_OR_STATE_VARIATION,26,,,,,,,,COARSE_STATES_LT_2
Cyphostemma,HOLD_INSUFFICIENT_COMMON_FRAME_OR_STATE_VARIATION,27,,,,,,,,COARSE_STATES_LT_2
Diospyros,PROFILE_NO_PHYLOGENETIC_SIGNAL,115,0.5141671578393779,0.4994063350792153,0.5153858265975833,0.1526,0.4826,0.1751,0.4773,
Elaeocarpus,PROFILE_NO_PHYLOGENETIC_SIGNAL,63,0.488238661525334,0.4772178712754943,0.4772178712754943,0.6561,0.7971,0.7971,0.0746,
Endiandra,HOLD_INSUFFICIENT_COMMON_FRAME_OR_STATE_VARIATION,7,,,,,,,,COMMON_TIPS_LT_20;FINE_STATES_LT_2;INTERMEDIATE_STATES_LT_2;COARSE_STATES_LT_2
Erythroxylum,HOLD_INSUFFICIENT_COMMON_FRAME_OR_STATE_VARIATION,0,,,,,,,,COMMON_TIPS_LT_20;FINE_STATES_LT_2;INTERMEDIATE_STATES_LT_2;COARSE_STATES_LT_2
Garcinia,PROFILE_SIGNALLED_TIED,54,0.5273052081901882,0.5508525217114174,0.5098171339428869,0.1274,0.0379,0.3215,0.1251,
Gaultheria,PROFILE_SIGNALLED_TIED,72,0.6847050906055877,0.6847050906055877,0.6853366769787438,0.0001,0.0001,0.0001,0.4343,
Grewia,HOLD_INSUFFICIENT_COMMON_FRAME_OR_STATE_VARIATION,0,,,,,,,,COMMON_TIPS_LT_20;FINE_STATES_LT_2;INTERMEDIATE_STATES_LT_2;COARSE_STATES_LT_2
Ilex,PROFILE_SIGNALLED_COARSE,120,0.591507781873077,0.5789759619858181,0.5789759619858181,0.0002,0.0023,0.0023,0.0279,
Iochroma,HOLD_INSUFFICIENT_COMMON_FRAME_OR_STATE_VARIATION,9,,,,,,,,COMMON_TIPS_LT_20;FINE_STATES_LT_2;INTERMEDIATE_STATES_LT_2;COARSE_STATES_LT_2
Lonicera,PROFILE_NO_PHYLOGENETIC_SIGNAL,81,0.5001732680061485,0.5001732680061485,0.5201553760050325,0.3826,0.3826,0.2063,0.0902,
Maytenus,PROFILE_SIGNALLED_COARSE,31,0.6587581699346405,0.5513305951311342,0.5513305951311342,0.0022,0.0339,0.0339,0.0035,
Nectandra,HOLD_INSUFFICIENT_COMMON_FRAME_OR_STATE_VARIATION,24,,,,,,,,FINE_STATES_LT_2;INTERMEDIATE_STATES_LT_2;COARSE_STATES_LT_2
Ochna,HOLD_INSUFFICIENT_COMMON_FRAME_OR_STATE_VARIATION,0,,,,,,,,COMMON_TIPS_LT_20;FINE_STATES_LT_2;INTERMEDIATE_STATES_LT_2;COARSE_STATES_LT_2
Ocotea,PROFILE_NO_PHYLOGENETIC_SIGNAL,41,0.4898958333333333,0.4898958333333333,0.4898958333333333,0.709,0.709,0.709,1.0,
Passiflora,PROFILE_SIGNALLED_FINE,179,0.5168422102954074,0.5607776141178726,0.5668109235055544,0.0105,0.0001,0.0001,0.0223,
Pavetta,HOLD_INSUFFICIENT_COMMON_FRAME_OR_STATE_VARIATION,13,,,,,,,,COMMON_TIPS_LT_20;FINE_STATES_LT_2;INTERMEDIATE_STATES_LT_2;COARSE_STATES_LT_2
Pouteria,PROFILE_NO_PHYLOGENETIC_SIGNAL,90,0.4681627666451196,0.4829687528607102,0.4829687528607102,0.9176,0.9562,0.9562,1.0,
Protium,PROFILE_NO_PHYLOGENETIC_SIGNAL,47,0.5567649461505119,0.5387115904963119,0.5387115904963119,0.1594,0.0633,0.0633,0.3121,
Prunus,PROFILE_NO_PHYLOGENETIC_SIGNAL,93,0.4429186046752751,0.4429186046752751,0.4429186046752751,0.9309,0.9309,0.9309,1.0,
Rhamnus,HOLD_INSUFFICIENT_COMMON_FRAME_OR_STATE_VARIATION,19,,,,,,,,COMMON_TIPS_LT_20;COARSE_STATES_LT_2
Rhus,PROFILE_NO_PHYLOGENETIC_SIGNAL,35,0.48462783171521034,0.5408204202397071,0.5408204202397071,0.6194,0.0754,0.0754,1.0,
Ribes,PROFILE_NO_PHYLOGENETIC_SIGNAL,80,0.4153842165556186,0.4577221997319083,0.5218897458547678,0.9962,0.8869,0.0771,0.0207,
Rosa,PROFILE_SIGNALLED_FINE,87,0.5193645889306824,0.5193645889306824,0.5635493156229855,0.0373,0.0373,0.0007,0.0019,
Rubus,PROFILE_NO_PHYLOGENETIC_SIGNAL,85,0.5112976988317867,0.5112976988317867,0.5112976988317867,0.2726,0.2726,0.2726,1.0,
Scaevola,PROFILE_SIGNALLED_TIED,33,0.6067697870630775,0.6849839779417244,0.6849839779417244,0.0018,0.0013,0.0013,1.0,
Smilax,HOLD_INSUFFICIENT_COMMON_FRAME_OR_STATE_VARIATION,80,,,,,,,,COARSE_STATES_LT_2
Solanum,PROFILE_SIGNALLED_FINE,440,0.5381978412937564,0.5731585608933076,0.5985763997704967,0.0001,0.0001,0.0001,0.0001,
Sorbus,HOLD_INSUFFICIENT_COMMON_FRAME_OR_STATE_VARIATION,14,,,,,,,,COMMON_TIPS_LT_20;FINE_STATES_LT_2;INTERMEDIATE_STATES_LT_2;COARSE_STATES_LT_2
Strychnos,HOLD_INSUFFICIENT_COMMON_FRAME_OR_STATE_VARIATION,0,,,,,,,,COMMON_TIPS_LT_20;FINE_STATES_LT_2;INTERMEDIATE_STATES_LT_2;COARSE_STATES_LT_2
Symplocos,PROFILE_SIGNALLED_COARSE,94,0.5522059804789383,0.5264045155536201,0.5185207143807554,0.0056,0.1348,0.2361,0.0001,
Terminalia,PROFILE_SIGNALLED_TIED,40,0.5350383833599748,0.5831972584115326,0.5831972584115326,0.0226,0.024,0.024,1.0,
Tricalysia,HOLD_INSUFFICIENT_COMMON_FRAME_OR_STATE_VARIATION,7,,,,,,,,COMMON_TIPS_LT_20;FINE_STATES_LT_2;INTERMEDIATE_STATES_LT_2;COARSE_STATES_LT_2
Vaccinium,PROFILE_SIGNALLED_TIED,85,0.5284956057752668,0.5722653960662962,0.5683411435697819,0.0049,0.0003,0.0072,0.4027,
Viburnum,HOLD_INSUFFICIENT_COMMON_FRAME_OR_STATE_VARIATION,121,,,,,,,,FINE_STATES_LT_2;INTERMEDIATE_STATES_LT_2;COARSE_STATES_LT_2
Vitex,HOLD_INSUFFICIENT_COMMON_FRAME_OR_STATE_VARIATION,0,,,,,,,,COMMON_TIPS_LT_20;FINE_STATES_LT_2;INTERMEDIATE_STATES_LT_2;COARSE_STATES_LT_2
