source_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
38,Brachycerae,E. borealiguizhouense,"Youyang, Chongqing",C. Zhang Zhang215,BNU,0,2,4,0,3.57,1.45,2.52,1.51,1.41,3.74,4.46
39,Brachycerae,E. borealiguizhouense,"Youyang, Chongqing",C. Zhang Zhang215,BNU,0,2,4,0,4.01,1.48,2.57,1.37,1.35,3.74,4.46
40,Brachycerae,E. borealiguizhouense,"Youyang, Chongqing",C. Zhang Zhang215,BNU,0,2,4,0,5.57,2.32,3.67,2.6,2,5.66,6.76
41,Brachycerae,E. borealiguizhouense,"Youyang, Chongqing",C. Zhang Zhang215,BNU,0,2,4,0,5.62,2.14,3.44,2.54,1.81,5.66,6.76
42,Brachycerae,E. borealiguizhouense,"Youyang, Chongqing",C. Zhang Zhang215,BNU,0,2,4,0,4.64,1.74,3.3,2.55,1.9,5.66,6.76
43,Brachycerae,E. borealiguizhouense,"Youyang, Chongqing",C. Zhang Zhang215,BNU,0,2,4,0,3.89,1.45,2.36,1.55,1.45,3.83,4.36
44,Brachycerae,E. borealiguizhouense,"Youyang, Chongqing",C. Zhang Zhang215,BNU,0,2,4,0,3.8,1.32,2.33,1.58,1.2,3.83,4.36
45,Brachycerae,E. borealiguizhouense,"Youyang, Chongqing",C. Zhang Zhang215,BNU,0,2,4,0,4.39,1.77,2.28,1.42,0.92,3.83,4.36
46,Brachycerae,E. borealiguizhouense,"Youyang, Chongqing",C. Zhang Zhang215,BNU,0,2,4,0,4.13,1.7,1.98,1.06,1.17,3.83,4.36
47,Brachycerae,E. borealiguizhouense,"Youyang, Chongqing",C. Zhang Zhang215,BNU,0,2,4,0,3.13,1.47,2.1,1.5,1.41,3.37,3.37
48,Brachycerae,E. borealiguizhouense,"Youyang, Chongqing",C. Zhang Zhang215,BNU,0,2,4,0,2.87,1.35,2.1,1.51,1.59,3.37,3.37
49,Brachycerae,E. brevicornu,"Luonan, Shaanxi",C. Zhang Zhang201,BNU,1,0,1,0,6.6,2.9,2.09,1.44,1,2.44,3.59
50,Brachycerae,E. brevicornu,"Luonan, Shaanxi",C. Zhang Zhang201,BNU,1,0,1,0,6.72,2.72,1.95,1.41,0.99,2.44,3.59
51,Brachycerae,E. brevicornu,"Luonan, Shaanxi",C. Zhang Zhang201,BNU,1,0,1,0,6.47,2.77,2.12,1.46,1.12,2.44,3.59
52,Brachycerae,E. brevicornu,"Luonan, Shaanxi",C. Zhang Zhang201,BNU,1,0,1,0,6.6,2.83,2.16,1.46,1.01,2.44,3.59
53,Brachycerae,E. brevicornu,"Luonan, Shaanxi",C. Zhang Zhang201,BNU,1,0,1,0,6.41,2.53,1.87,1.39,1.14,2.62,3.23
54,Brachycerae,E. brevicornu,"Luonan, Shaanxi",C. Zhang Zhang201,BNU,1,0,1,0,6.03,2.62,1.83,1.41,1.09,2.62,3.23
55,Campanulatae,E. campanulatum,"Dujiangyan, Sichuan",C. Zhang Zhang274,BNU,0,2,1,1,2.25,0.86,0,6.55,5.04,2.49,4.45
56,Campanulatae,E. campanulatum,"Dujiangyan, Sichuan",C. Zhang Zhang274,BNU,0,2,1,1,2.33,1.04,0,6.72,5.37,2.6,4.35
57,Campanulatae,E. campanulatum,"Dujiangyan, Sichuan",C. Zhang Zhang274,BNU,0,2,1,1,2.25,1.1,0,6.89,5.2,2.68,4.32
58,Campanulatae,E. campanulatum,"Dujiangyan, Sichuan",C. Zhang Zhang274,BNU,0,2,1,1,2.38,1,0,6.98,4.69,2.79,4.57
59,Campanulatae,E. campanulatum,"Dujiangyan, Sichuan",C. Zhang Zhang274,BNU,0,2,1,1,2.52,1.23,0,6.85,4.91,2.87,4.61
60,Campanulatae,E. campanulatum,"Dujiangyan, Sichuan",C. Zhang Zhang274,BNU,0,2,1,1,2.38,1.11,0,7.4,4.84,2.86,4.31
61,Campanulatae,E. campanulatum,"Dujiangyan, Sichuan",C. Zhang Zhang274,BNU,0,2,1,1,2.71,1.26,0,6.97,4.35,2.46,4.43
62,Campanulatae,E. campanulatum,"Dujiangyan, Sichuan",C. Zhang Zhang274,BNU,0,2,1,1,2.65,1.21,0,7.35,4.65,2.58,4.43
63,Dolichocerae,E. chlorandrum,"Baoxing, Sichuan",C. Zhang Zhang283,BNU,0,1,1,0,13.67,4.16,26.85,6.12,4.56,4.1,6.28
64,Dolichocerae,E. chlorandrum,"Baoxing, Sichuan",C. Zhang Zhang283,BNU,0,1,1,0,14.01,4.17,27.36,6.44,4.7,4.1,6.28
65,Dolichocerae,E. chlorandrum,"Baoxing, Sichuan",C. Zhang Zhang283,BNU,0,1,1,0,14.06,4.17,28.59,5.84,5.28,4.1,6.28
66,Dolichocerae,E. chlorandrum,"Baoxing, Sichuan",C. Zhang Zhang283,BNU,0,1,1,0,13.67,3.84,27.38,6.2,5.28,4.22,5.11
67,Dolichocerae,E. chlorandrum,"Baoxing, Sichuan",C. Zhang Zhang283,BNU,0,1,1,0,12.69,3.84,27.28,4.9,4.16,4.22,5.11
68,Dolichocerae,E. chlorandrum,"Baoxing, Sichuan",C. Zhang Zhang283,BNU,0,1,1,0,12.09,4.02,28.11,5.02,4.06,4.22,5.11
69,Dolichocerae,E. chlorandrum,"Baoxing, Sichuan",C. Zhang Zhang283,BNU,0,1,1,0,13.74,4.11,27.33,5.4,3.87,4.22,5.11
70,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.9,2.01,1.56,1.85,1.66,3.64,3.77
71,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.59,1.95,1.61,1.71,1.81,3.64,3.77
72,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.02,1.87,3.04,1.89,1.55,3.53,4.01
73,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.64,1.99,2.57,1.7,1.41,3.53,4.01
74,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.41,1.56,2.97,1.7,1.56,3.43,4.02
75,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.04,1.27,2.59,1.67,1.43,3.43,4.02
76,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.26,1.33,2.02,1.62,1.33,3.98,3.98
77,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.44,1.39,2.32,1.79,1.36,3.98,3.98
78,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.04,1.35,2.41,1.7,1.47,3.7,3.8
79,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,2.83,1.21,2.28,1.65,1.32,3.7,3.8
80,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,2.81,1.66,2.03,1.66,1.35,3.24,3.9
81,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,2.86,1.2,2.05,1.73,1.28,3.24,3.9
82,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.93,1.93,2.6,1.76,1.63,4.01,4.29
83,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.05,1.44,2.35,1.55,1.51,3.5,3.5
84,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.07,1.41,2.35,1.45,1.4,3.5,3.5
85,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.96,1.55,2.29,1.64,1.5,3.28,3.97
86,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.57,1.48,2.11,1.62,1.34,3.28,3.97
87,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.92,2.01,2.83,1.66,1.53,3.54,4.69
88,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.34,1.73,2.28,1.46,1.46,3.74,3.74
89,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.39,1.7,1.95,1.6,1.64,3.74,3.74
90,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.33,1.52,2.48,2,1.8,3.6,4.3
91,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.35,2,2.25,1.43,1.48,3.35,3.93
92,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.25,1.87,2.06,1.62,1.42,3.35,3.93
93,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.92,1.87,2.75,1.84,1.77,3.74,3.74
94,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.37,1.65,2.71,1.68,1.84,3.74,3.74
95,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,2.87,1.55,1.9,1.74,1.36,3.72,3.72
96,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,2.95,1.55,1.96,1.85,1.47,3.72,3.72
97,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.76,1.67,2.6,1.71,1.52,3.94,4.23
98,Brachycerae,E. coactum,"Huitong, Hunan",C. Zhang Zhang205,BNU,0,0,1,0,3.51,1.68,2.39,1.85,1.46,3.94,4.23
99,Brachycerae,E. daiguii,"Longshan, Hunan",C. Zhang Zhang214,BNU,0,2,4,0,3.9,1.86,2.06,1.49,1.51,2.56,3.39
100,Brachycerae,E. daiguii,"Longshan, Hunan",C. Zhang Zhang214,BNU,0,2,4,0,3.68,1.68,2.11,1.53,1.54,2.56,3.39
101,Brachycerae,E. daiguii,"Longshan, Hunan",C. Zhang Zhang214,BNU,0,2,4,0,3.87,1.66,2.1,1.48,1.43,2.56,3.39
102,Brachycerae,E. daiguii,"Longshan, Hunan",C. Zhang Zhang214,BNU,0,2,4,0,3.13,1.95,1.77,1.7,1.87,3.2,3.2
103,Brachycerae,E. daiguii,"Longshan, Hunan",C. Zhang Zhang214,BNU,0,2,4,0,3.09,1.81,1.69,1.88,2.17,3.2,3.2
104,Brachycerae,E. daiguii,"Longshan, Hunan",C. Zhang Zhang214,BNU,0,2,4,0,4.25,2.53,2.21,1.7,2,3.2,4.08
105,Brachycerae,E. daiguii,"Longshan, Hunan",C. Zhang Zhang214,BNU,0,2,4,0,4.51,2.27,2.09,1.8,1.9,3.2,4.08
106,Brachycerae,E. daiguii,"Longshan, Hunan",C. Zhang Zhang214,BNU,0,2,4,0,4.48,2.67,2.28,1.57,1.82,3.28,4.02
107,Brachycerae,E. daiguii,"Longshan, Hunan",C. Zhang Zhang214,BNU,0,2,4,0,4.6,2.7,2.1,1.51,2.07,3.28,4.02
108,Brachycerae,E. daiguii,"Longshan, Hunan",C. Zhang Zhang214,BNU,0,2,4,0,4.63,2.37,2.43,1.87,1.86,3.43,4.62
109,Brachycerae,E. daiguii,"Longshan, Hunan",C. Zhang Zhang214,BNU,0,2,4,0,5.09,2.44,2.22,1.76,1.83,3.43,4.62
110,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,5.84,1.73,19.62,7.91,9.29,3.68,7.46
111,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,5.63,1.66,19.02,9.15,8.61,3.68,7.46
112,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,5.35,1.64,19.31,9.09,9.77,3.68,7.46
113,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,5.78,1.67,18.6,8.99,9.39,3.68,7.46
114,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,5.87,1.59,17.41,9.45,9,4.56,7.08
115,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,5.41,1.25,17.72,9.85,9.95,4.56,7.08
116,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,4.72,1.45,17.32,9.63,9.32,4.56,7.08
117,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,5.39,1.59,16.69,9.05,9.84,4.56,7.08
118,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,5.22,1.42,16.29,8.09,8.83,4.08,5.94
119,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,5.26,1.44,16.13,8.14,9.2,4.08,5.94
120,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,5.28,1.52,16.47,7.95,9.21,4.08,5.94
121,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,5.48,1.36,16.42,8.18,8.99,4.08,5.94
122,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,5.77,1.25,15.9,7.96,7.84,4.57,5.49
123,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,5.67,1.4,15.87,8.08,8.93,4.57,5.49
124,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,5.64,1.33,16.48,8.91,8.41,4.57,5.49
125,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,5.87,1.49,15.7,8.65,9.37,4.57,5.49
126,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,4.67,1.28,17.84,9.09,8.66,4.57,5.49
127,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,4.77,1.33,17.34,9.14,8.58,4.57,5.49
128,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,5.12,1.37,17.63,8.46,7.6,4.57,5.49
129,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,4.59,1.28,15.84,9.2,6.71,4.57,5.49
130,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,4.58,1.28,15.96,8.08,7.25,4.57,5.49
131,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,4.6,1.25,15.66,8.91,7.05,4.57,5.49
132,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,4.86,1.35,16.45,8.37,7.61,4.57,5.49
133,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,5.12,1.35,17.58,8.68,7.67,4.57,5.49
134,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,4.74,1.4,14.49,8.64,7.8,4.57,5.49
135,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,5.09,1.41,16.9,7.94,7.36,4.57,5.49
136,Davidianae,E. davidii,"Baoxing, Sichuan",C. Zhang Zhang282,BNU,0,2,1,1,4.95,1.41,17.49,8.66,6.5,4.57,5.49
137,Brachycerae,E. dolichostemon,"Yanhe, Guizhou",C. Zhang Zhang219,BNU,1,3,3,0,11.39,5.14,7.95,1.64,2.6,7.4,11.5
138,Brachycerae,E. dolichostemon,"Yanhe, Guizhou",C. Zhang Zhang219,BNU,1,3,3,0,11.1,4.91,6.47,1.91,2.25,7.88,10.3
139,Brachycerae,E. dolichostemon,"Yanhe, Guizhou",C. Zhang Zhang219,BNU,1,3,3,0,11.18,4.83,7.44,1.22,2.01,7.88,10.3
140,Brachycerae,E. dolichostemon,"Yanhe, Guizhou",C. Zhang Zhang219,BNU,1,3,3,0,9.27,4.7,5.89,1.95,2.42,8.01,9.15
141,Brachycerae,E. dolichostemon,"Yanhe, Guizhou",C. Zhang Zhang219,BNU,1,3,3,0,9.31,5.2,6.52,1.82,2.44,8.01,9.15
142,Brachycerae,E. dolichostemon,"Yanhe, Guizhou",C. Zhang Zhang219,BNU,1,3,3,0,10.2,4.94,6.2,2.24,2.15,8.01,9.15
143,Brachycerae,E. dolichostemon,"Yanhe, Guizhou",C. Zhang Zhang219,BNU,1,3,3,0,10.06,4.99,5.97,2.07,2.47,8.01,9.15
144,Campanulatae,E. ecalcaratum,"Baoxing, Sichuan",C. Zhang Zhang280,BNU,0,2,1,1,2.87,1.19,2.24,6.8,5.13,2.69,5.03
145,Campanulatae,E. ecalcaratum,"Baoxing, Sichuan",C. Zhang Zhang280,BNU,0,2,1,1,2.91,1.14,1.9,6.49,5.12,2.69,5.03
146,Campanulatae,E. ecalcaratum,"Baoxing, Sichuan",C. Zhang Zhang280,BNU,0,2,1,1,2.54,1.3,1.72,7.44,5.15,2.69,5.03
147,Campanulatae,E. ecalcaratum,"Baoxing, Sichuan",C. Zhang Zhang280,BNU,0,2,1,1,2.88,1.38,2.07,7.36,5.04,2.69,5.03
148,Brachycerae,E. elachyphyllum,"Songtao, Guizhou",C. Zhang Zhang218,BNU,0,2,4,0,3.52,1.84,1.64,1.16,1.58,2.61,3.96
149,Brachycerae,E. elachyphyllum,"Songtao, Guizhou",C. Zhang Zhang218,BNU,0,2,4,0,4.46,1.73,1.43,1.36,1.55,2.61,3.96
150,Brachycerae,E. elachyphyllum,"Songtao, Guizhou",C. Zhang Zhang218,BNU,0,2,4,0,3.83,1.84,1.47,1.54,1.21,2.61,3.96
151,Brachycerae,E. elachyphyllum,"Songtao, Guizhou",C. Zhang Zhang218,BNU,0,2,4,0,4.01,1.44,1.36,1.52,1.47,2.61,3.96
152,Brachycerae,E. elachyphyllum,"Songtao, Guizhou",C. Zhang Zhang218,BNU,0,2,4,0,3.58,1.93,1.35,1.48,1.64,2.61,3.96
153,Brachycerae,E. elachyphyllum,"Songtao, Guizhou",C. Zhang Zhang218,BNU,0,2,4,0,4.24,1.55,1.28,1.51,1.33,2.61,3.96
154,Brachycerae,E. elachyphyllum,"Songtao, Guizhou",C. Zhang Zhang218,BNU,0,2,4,0,4.51,1.89,1.29,1.5,1.59,2.61,3.96
155,Brachycerae,E. elachyphyllum,"Songtao, Guizhou",C. Zhang Zhang218,BNU,0,2,4,0,4.37,1.82,1.38,1.6,1.38,2.61,3.96
156,Brachycerae,E. elachyphyllum,"Songtao, Guizhou",C. Zhang Zhang218,BNU,0,2,4,0,3.88,1.93,1.36,1.47,1.6,2.61,3.96
157,Brachycerae,E. elachyphyllum,"Songtao, Guizhou",C. Zhang Zhang218,BNU,0,2,4,0,4.65,1.82,1.39,1.57,1.51,2.61,3.96
158,Dolichocerae,E. elongatum,"Kangding, Sichuan",C. Zhang 287,BNU,1,2,1,0,5.5,2.5,17,5.3,4.6,3.5,4.2
159,Dolichocerae,E. elongatum,"Kangding, Sichuan",C. Zhang 287,BNU,1,2,1,0,5.12,2.35,16.5,5.2,4.45,3.3,4
160,Dolichocerae,E. elongatum,"Kangding, Sichuan",C. Zhang 287,BNU,1,2,1,0,5.3,2.58,15.6,5.1,4.7,3.6,4.1
161,Dolichocerae,E. elongatum,"Kangding, Sichuan",C. Zhang 287,BNU,1,2,1,0,4.9,2.3,15.3,5.1,4.7,3.35,3.97
162,Dolichocerae,E. elongatum,"Kangding, Sichuan",C. Zhang 287,BNU,1,2,1,0,5,2.34,16.2,4.7,4.5,3.8,4.3
163,Dolichocerae,E. elongatum,"Kangding, Sichuan",C. Zhang 287,BNU,1,2,1,0,4.9,2.21,17.2,5,4.6,3.5,4.4
164,Dolichocerae,E. elongatum,"Kangding, Sichuan",C. Zhang 287,BNU,1,2,1,0,5.1,2.4,15.9,4.8,4.48,3.3,4.1
165,Dolichocerae,E. elongatum,"Kangding, Sichuan",C. Zhang 287,BNU,1,2,1,0,4.85,2.18,16.4,4.9,4.66,3.45,4.19
166,Davidianae,E. fangii,"Emeishan, Sichuan",C. Zhang Zhang234,BNU,0,2,1,1,7.28,2.64,16.47,5.37,4.66,2.59,5.67
167,Davidianae,E. fangii,"Emeishan, Sichuan",C. Zhang Zhang234,BNU,0,2,1,1,8.74,2.99,17.14,5.27,4.02,2.59,5.67
168,Davidianae,E. fangii,"Emeishan, Sichuan",C. Zhang Zhang234,BNU,0,2,1,1,7.48,2.65,16.69,5.55,4.56,2.59,5.67
169,Davidianae,E. fangii,"Emeishan, Sichuan",C. Zhang Zhang234,BNU,0,2,1,1,8.54,3.01,16.91,5.63,3.86,2.59,5.67
170,Davidianae,E. fangii,"Emeishan, Sichuan",C. Zhang Zhang234,BNU,0,2,1,1,7.9,2.5,17.25,5.73,3.69,3.07,4.75
171,Davidianae,E. fangii,"Emeishan, Sichuan",C. Zhang Zhang234,BNU,0,2,1,1,8.75,2.74,15.26,5.95,4.58,3.07,4.75
172,Davidianae,E. fangii,"Emeishan, Sichuan",C. Zhang Zhang234,BNU,0,2,1,1,5.63,1.8,16.34,5.88,4.59,3.07,4.75
