candidate_id,doi_or_resolved_doi,year,title,decision,independence_cluster,new_independent_directional_afcp_cluster,candidate_free_addition,reason
CCD011,10.1080/14786419.2021.1960326,2023,Flavonoids and other phenolics from Camellia nitidissima chi flowers,auxiliary_chemistry_same_cluster,CNITIDISSIMA,no,no,flower phenolic/flavonoid chemistry; no transcript direction
CCD012,10.1093/hr/uhae136,2024,The phosphorylation of a WD40-repeat protein negatively regulates flavonoid biosynthesis in Camellia sinensis under drought stress,exclude_nonflower_trait,CSIN_DROUGHT,no,no,"drought-regulated flavonoid pathway in tea, not flower colour"
CCD013,10.1271/bbb.70124,2007,Anthocyanins from red flowers of Camellia reticulata LINDL,auxiliary_chemistry_same_cluster,CRETICULATA,no,no,red-flower anthocyanin chemistry; no transcript state
CCD014,10.2503/jjshs.55.82,1986,"Cyanidin 3-galactoside, a new anthocyanin from Camellia japonica subsp. Rusticana (Honda) Kitamura and its occurrence in the garden forms of Camellia of Japanese origin",auxiliary_chemistry_same_cluster,CJAPONICA,no,no,historical anthocyanin chemistry; no transcript state
CCD015,10.3389/fpls.2019.01638,2019,Transcriptome and phytochemical analyses provide new insights into long non-coding RNAs modulating characteristic secondary metabolites of oolong tea (Camellia sinensis) in solar-withering,exclude_nonflower_tissue,CSIN_OOLONG,no,no,"solar-withering/leaf secondary metabolism, not flower"
CCD016,10.3390/biom13010041,2022,Identification of Chalcone Isomerase family genes and roles of CnCHI4 in flavonoid metabolism in Camellia Nitidissima,auxiliary_same_cluster_upstream,CNITIDISSIMA,no,no,CnCHI4 developmental/function evidence; CHI upstream of frozen A/F/C/P split and same CN background
CCD017,10.3390/f13071094,2022,Comparative transcriptome and pigment analyses reveal changes in gene expression associated with flavonol metabolism in yellow Camellia,auxiliary_same_cluster_public_rnaseq,CNITIDISSIMA,no,no,"petal RNA-seq CN versus three C. nitidissima-derived hybrids; public raw reads and FLS direction, but artificial hybrids share CN background and do not add an independent origin"
CCD018,10.3390/genes11111341,2020,Functional diversification of the dihydroflavonol 4-reductase from Camellia nitidissima chi. in the control of polyphenol biosynthesis,auxiliary_same_cluster_functional,CNITIDISSIMA,no,no,"CnDFR expression/function; same CN background, not an independent transition replicate"
CCD019,10.3390/horticulturae10040420,2024,Transcriptome and pigment analyses provide insights into carotenoids and flavonoids biosynthesis in Camellia nitidissima Stamens,exclude_organ_mismatch,CNITIDISSIMA_STAMEN,no,no,"stamen transcriptome/pigments, not petal colour contrast"
CCD020,10.3390/ijms19061686,2018,A WD40 repeat protein from Camellia sinensis regulates anthocyanin and proanthocyanidin accumulation through the formation of MYB–bHLH–WD40 ternary complexes,exclude_nonflower_colour,CSIN_VEGETATIVE,no,no,"tea WD40 anthocyanin/proanthocyanidin regulation, not flower-colour contrast"
CCD021,10.3390/ijms23094780,2022,Integrative analysis of metabolomics and transcriptomics reveals molecular mechanisms of anthocyanin metabolism in the zikui tea plant (Camellia sinensis cv. Zikui),exclude_nonflower_tissue,CSIN_ZIKUI,no,no,"purple tea anthocyanin metabolism, vegetative phenotype"
CCD022,10.3390/metabo13070784,2023,Metabolite profiling of external and internal petals in three different colors of tea flowers (Camellia sinensis) using widely targeted metabolomics,auxiliary_chemistry_flower,CSIN_FLOWER_CHEMISTRY,no,no,three tea-flower colours but metabolomics only; no A/F/C/P transcript-state signature
CCD023,10.3389/fpls.2015.01257,2016,Disequilibrium of Flavonol Synthase and Dihydroflavonol-4-Reductase Expression Associated Tightly to White vs. Red Color Flower Formation in Plants,admit_same_cluster_literature_update,CJAPONICA,no,no,Cross-plant title obscured Camellia relevance; C. japonica red/white qRT-PCR resolves literature-side A=up and F=down in existing CJAPONICA cluster. Reopens literature recurrence/ascertainment but adds no candidate-free dataset.
