effect_id,axis,study,taxon,visible_state,contrast,outcome,effect_metric,numerator_value,denominator_value,effect_value,se_value,variance_status,events_num,n_num,events_den,n_den,independence_unit,source,notes
ECO_CLIMMED_HAINANICA_POLLEN,climate_pollinator_mediation,Yuan_et_al_2025,Camellia hainanica,unknown,cool_transplanted_vs_native,pollen_deposition,lnRR,0.43,1.0,-0.8440,,reported_percent_change_no_variance,,,,,Chainanica_Yuan2025,10.3390/agriculture15161717,"Pollen deposition declined 57%; natural fruit set 0 while hand cross achieved 11%."
ECO_SEASON_PERPETUA_NECTAR,season_weather,Jiang_et_al_2025,Camellia perpetua,Y,winter_vs_summer,nectar_volume,lnRR,453.66,129.14,1.2565,,means_SE_available_sample_size_to_extract,,,,,Cperpetua_Jiang2025,10.1016/j.flora.2025.152727,"Winter/summer nectar volume ratio 3.51."
ECO_SEASON_PERPETUA_SUCROSE,season_weather,Jiang_et_al_2025,Camellia perpetua,Y,winter_vs_summer,sucrose_hexose_ratio,lnRR,49.69,6.99,1.9612,,means_SE_available_sample_size_to_extract,,,,,Cperpetua_Jiang2025,10.1016/j.flora.2025.152727,"Winter/summer sucrose:hexose ratio 7.11."
ECO_COLD_DARK_JAPONICA_6W,abiotic_manipulation,Berruti_et_al_2015,Camellia japonica,A,6wk_7C_dark_vs_control,petal_anthocyanin,lnRR,0.195,0.240,-0.2076,,n3_per_group_SD_not_reported_in_table,,,,,Cjaponica_Berruti2015,10.3389/fpls.2015.00983,"Cold and darkness confounded."
ECO_COLD_DARK_JAPONICA_8W,abiotic_manipulation,Berruti_et_al_2015,Camellia japonica,A,8wk_7C_dark_vs_control,petal_anthocyanin,lnRR,0.174,0.240,-0.3218,,n3_per_group_SD_not_reported_in_table,,,,,Cjaponica_Berruti2015,10.3389/fpls.2015.00983,"Cold and darkness confounded."
ECO_SENSORY_RED_BEE_CHOICE,sensory_pollinator,Mori_et_al_2023,"Camellia rusticana vs Camellia japonica",A,C_rusticana_vs_C_japonica,bumblebee_visits_per_10min,lnRR,25.8,1.1,3.1555,,paired_choice_SEs_available_correlation_unknown,,,,,Mori2023_red_pair,10.1016/j.phytochem.2022.113559,"Same visible red state; >20-fold bee-choice contrast with UV/fluorescence differences."
ECO_BEE_OLEIFERA_LIU2025_CAGE,pollinator_service_replication,Liu_et_al_2025,Camellia oleifera,W,A_cerana_present_vs_no_bee_cage_2020_2021,fruit_set,lnRR,0.4234,0.1653,0.9406,,published_group_means_no_defensible_sampling_variance,,,,,Coleifera_Liu2025_cage,10.3390/insects16101028,"Independent C. oleifera pollinator-service experiment; primary within-species replication."
ECO_BEE_OLEIFERA_LIU2025_OPEN,pollinator_service_replication_secondary,Liu_et_al_2025,Camellia oleifera,W,A_cerana_open_field_vs_non_honeybee_control_2020_2021,fruit_set,lnRR,0.0844,0.0196,1.4600,,published_group_means_no_defensible_sampling_variance,,,,,Coleifera_Liu2025_open,10.3390/insects16101028,"Secondary contrast from same study/year; not independent of cage evidence for genus-level counting."
ECO_BEEABUND_OLEIFERA_2018,pollinator_reliability_gradient,Li_et_al_2021_JAE,Camellia oleifera,W,wild_bee_abundance_vs_fruit_set_2018,fruit_set,reported_slope,,,0.1968,0.0137,reported_LMM_estimate_SE,,,,,Coleifera_Li2021JAE_2018,10.1111/jen.12849,"LMM bee-abundance coefficient; t=14.36, P<.001."
ECO_BEEABUND_OLEIFERA_2019,pollinator_reliability_gradient,Li_et_al_2021_JAE,Camellia oleifera,W,wild_bee_abundance_vs_fruit_set_2019,fruit_set,reported_slope,,,0.1948,0.01315,reported_LMM_estimate_SE,,,,,Coleifera_Li2021JAE_2019,10.1111/jen.12849,"LMM bee-abundance coefficient; t=14.81, P<.001."
ECO_BEE_DIST_OLEIFERA_2018,pollinator_reliability_gradient,Li_et_al_2021_JAE,Camellia oleifera,W,nest_distance_vs_fruit_set_2018,fruit_set,reported_slope,,,-0.00543,0.00059,reported_LMM_estimate_SE,,,,,Coleifera_Li2021JAE_2018,10.1111/jen.12849,"Fruit set declines with distance from wild-bee nesting aggregation; t=-9.20."
ECO_BEE_DIST_OLEIFERA_2019,pollinator_reliability_gradient,Li_et_al_2021_JAE,Camellia oleifera,W,nest_distance_vs_fruit_set_2019,fruit_set,reported_slope,,,-0.006171,0.000676,reported_LMM_estimate_SE,,,,,Coleifera_Li2021JAE_2019,10.1111/jen.12849,"Fruit set declines with distance from wild-bee nesting aggregation; t=-9.13."
ECO_PL_OLEIFERA_SELFSTERILITY_SENS,breeding_pollen_sensitivity,Chen_et_al_2014,Camellia oleifera,W,cross_pollination_vs_open,fruit_set,lnRR,0.7133,0.3533,0.7026,,means_SE_reported_but_design_not_clean_pollen_supplement,,,,,Coleifera_Chen2014,10.1371/journal.pone.0099639,"Sensitivity only: cross treatment includes emasculation/bagging and paternal compatibility, so not pooled as clean field pollen limitation."
ECO_CLIMMED_OLEIFERA_THRESHOLD,climate_pollinator_mediation,Zeng_Li_2010,Camellia oleifera,W,natural_vs_artificial_pollination_temperature_threshold,fruit_set,reported_threshold,,,3.0,,difference_between_8C_natural_and_5C_artificial_threshold,,,,,Coleifera_Zeng2010,10.11833/j.issn.2095-0756.2010.03.001,"Natural pollination required approximately >=8 C with pollinator activity; artificial pollination could set fruit at >=5 C under sunny frost-free conditions."
ECO_CLIMMED_OLEIFERA_LIU2025_WEATHER,pollinator_service_weather,Liu_et_al_2025,Camellia oleifera,W,interannual_weather_vs_honeybee_pollination_benefit,fruit_set,reported_interaction,,,,,reported_weather_dependence_without_single_standardized_coefficient,,,,,Coleifera_Liu2025_weather,10.3390/insects16101028,"Three-year experiment reports stronger honey-bee pollination benefits in favorable/warmer years; retained as mediation evidence, not a pooled lnRR."
