BioProject,BioSample,LibraryStrategy,Run,ScientificName,normalized_taxon
PRJNA665925,SAMN28458145,RNA-Seq,SRR19266691,Camellia stichoclada,Camellia stichoclada
PRJNA665925,SAMN28458146,RNA-Seq,SRR19266689,Camellia pitardii,Camellia pitardii
PRJNA665925,SAMN28458147,RNA-Seq,SRR19266688,Camellia pitardii var. cryptoneura,Camellia pitardii
PRJNA665925,SAMN28458148,RNA-Seq,SRR19266687,Camellia oviformis,Camellia oviformis
PRJNA665925,SAMN28458149,RNA-Seq,SRR19266686,Camellia bambusifolia,Camellia bambusifolia
PRJNA665925,SAMN28458150,RNA-Seq,SRR19266685,Camellia saluenensis,Camellia saluenensis
PRJNA665925,SAMN28458151,RNA-Seq,SRR19266684,Camellia albosericea,Camellia albosericea
PRJNA665925,SAMN28458152,RNA-Seq,SRR19266683,Camellia bailinshanica,Camellia bailinshanica
PRJNA665925,SAMN28458153,RNA-Seq,SRR19266682,Camellia oligophlebia,Camellia oligophlebia
PRJNA665925,SAMN28458154,RNA-Seq,SRR19266681,Camellia pentapetala,Camellia pentapetala
PRJNA665925,SAMN28458155,RNA-Seq,SRR19266680,Camellia paucipetala,Camellia paucipetala
PRJNA665925,SAMN28458156,RNA-Seq,SRR19266678,Camellia azalea,Camellia azalea
PRJNA665925,SAMN28458157,RNA-Seq,SRR19266677,Camellia subintegra,Camellia subintegra
PRJNA665925,SAMN28458158,RNA-Seq,SRR19266676,Camellia apolyodonta,Camellia apolyodonta
PRJNA665925,SAMN28458159,RNA-Seq,SRR19266675,Camellia longicaudata,Camellia longicaudata
PRJNA665925,SAMN28458138,RNA-Seq,SRR19266698,Camellia villosa,Camellia villosa
PRJNA665925,SAMN28458096,RNA-Seq,SRR19266768,Camellia granthamiana,Camellia granthamiana
PRJNA665925,SAMN28458097,RNA-Seq,SRR19266767,Camellia albogigas,Camellia albogigas
PRJNA665925,SAMN28458164,RNA-Seq,SRR19266742,Camellia pingguoensis,Camellia pingguoensis
PRJNA665925,SAMN28458165,RNA-Seq,SRR19266741,Camellia lungzhouensis,Camellia lungzhouensis
PRJNA665925,SAMN28458162,RNA-Seq,SRR19266744,Camellia impressinervis,Camellia impressinervis
PRJNA665925,SAMN28458163,RNA-Seq,SRR19266743,Camellia grandis,Camellia grandis
PRJNA665925,SAMN28458166,RNA-Seq,SRR19266739,Camellia indochinensis,Camellia indochinensis
PRJNA665925,SAMN28458167,RNA-Seq,SRR19266738,Camellia kwangsiensis,Camellia kwangsiensis
PRJNA665925,SAMN28458176,RNA-Seq,SRR19266728,Camellia angustifolia,Camellia angustifolia
PRJNA665925,SAMN28458178,RNA-Seq,SRR19266727,Camellia ptilophylla,Camellia ptilophylla
PRJNA665925,SAMN28458179,RNA-Seq,SRR19266726,Camellia pubescens,Camellia pubescens
PRJNA665925,SAMN28458180,RNA-Seq,SRR19266725,Camellia sinensis var. assamica,Camellia sinensis
PRJNA665925,SAMN28458181,RNA-Seq,SRR19266724,Camellia parvisepala,Camellia parvisepala
PRJNA665925,SAMN28458182,RNA-Seq,SRR19266723,Camellia arborescens,Camellia arborescens
PRJNA665925,SAMN28458168,RNA-Seq,SRR19266737,Camellia tachangensis,Camellia tachangensis
PRJNA665925,SAMN28458183,RNA-Seq,SRR19266722,Camellia crassicolumna,Camellia crassicolumna
PRJNA665925,SAMN28458184,RNA-Seq,SRR19266721,Camellia sinensis var. sinensis,Camellia sinensis
PRJNA665925,SAMN28458169,RNA-Seq,SRR19266736,Camellia tetracocca,Camellia tetracocca
PRJNA665925,SAMN28458170,RNA-Seq,SRR19266735,Camellia atrothea,Camellia atrothea
PRJNA665925,SAMN28458171,RNA-Seq,SRR19266734,Camellia makuanica,Camellia makuanica
PRJNA665925,SAMN28458172,RNA-Seq,SRR19266733,Camellia taliensis,Camellia taliensis
PRJNA665925,SAMN28458173,RNA-Seq,SRR19266732,Camellia leptophylla,Camellia leptophylla
PRJNA665925,SAMN28458174,RNA-Seq,SRR19266731,Camellia gymnogyna,Camellia gymnogyna
PRJNA665925,SAMN28458175,RNA-Seq,SRR19266730,Camellia jingyunshanica,Camellia jingyunshanica
PRJNA665925,SAMN28458197,RNA-Seq,SRR19266765,Camellia septempetala,Camellia septempetala
PRJNA665925,SAMN28458198,RNA-Seq,SRR19266764,Camellia elongata,Camellia elongata
PRJNA665925,SAMN28458199,RNA-Seq,SRR19266763,Camellia campanisepala,Camellia campanisepala
PRJNA665925,SAMN28458200,RNA-Seq,SRR19266762,Camellia parviovata,Camellia parviovata
PRJNA665925,SAMN28458201,RNA-Seq,SRR19266761,Camellia parvicaudata,Camellia parvicaudata
PRJNA665925,SAMN28458202,RNA-Seq,SRR19266760,Camellia lawii,Camellia lawii
PRJNA665925,SAMN28458203,RNA-Seq,SRR19266759,Camellia cordifolia,Camellia cordifolia
PRJNA665925,SAMN28458204,RNA-Seq,SRR19266758,Camellia salicifolia,Camellia salicifolia
PRJNA665925,SAMN28458205,RNA-Seq,SRR19266757,Polyspora speciosa,
PRJNA665925,SAMN28458098,RNA-Seq,SRR19266747,Camellia yunnanensis,Camellia yunnanensis
PRJNA665925,SAMN28458103,RNA-Seq,SRR19266740,Camellia vietnamensis,Camellia vietnamensis
PRJNA665925,SAMN28458104,RNA-Seq,SRR19266729,Camellia oleifera,Camellia oleifera
PRJNA665925,SAMN28458112,RNA-Seq,SRR19266751,Camellia parafurfuracea,Camellia parafurfuracea
PRJNA665925,SAMN28458113,RNA-Seq,SRR19266750,Camellia connatistyla,Camellia connatistyla
PRJNA665925,SAMN28458106,RNA-Seq,SRR19266766,Camellia furfuracea var. latipetiolata,Camellia furfuracea
PRJNA665925,SAMN28458107,RNA-Seq,SRR19266756,Camellia crapnelliana,Camellia crapnelliana
PRJNA665925,SAMN28458108,RNA-Seq,SRR19266755,Camellia multibracteata,Camellia multibracteata
PRJNA665925,SAMN28458109,RNA-Seq,SRR19266754,Camellia furfuracea,Camellia furfuracea
PRJNA665925,SAMN28458110,RNA-Seq,SRR19266753,Camellia oblata,Camellia oblata
PRJNA665925,SAMN28458111,RNA-Seq,SRR19266752,Camellia gaudichaudii,Camellia gaudichaudii
PRJNA665925,SAMN28458114,RNA-Seq,SRR19266749,Camellia confusa,Camellia confusa
PRJNA665925,SAMN28458115,RNA-Seq,SRR19266748,Camellia kissii,Camellia kissii
PRJNA665925,SAMN28458116,RNA-Seq,SRR19266746,Camellia fluviatilis,Camellia fluviatilis
PRJNA665925,SAMN28458117,RNA-Seq,SRR19266745,Camellia brevistyla,Camellia brevistyla
PRJNA665925,SAMN28458118,RNA-Seq,SRR19266720,Camellia hiemalis,Camellia hiemalis
