resolution,feature,module,independence_cluster,scale_class,source_study,source_doi,public_raw_direct,functional_validation,direction,evidence_basis,orthology_status,claim_ceiling
node,CHS,flavonoid_core,CRETICULATA,within_genotype_sector,Xu2023_reticulata_mixed_regions,10.1186/s12870-023-04655-4,yes,no,more_red,"CHS is lower in the white petal region",family_name_explicit_paralog_map_pending,"one C. reticulata independence cluster"
node,ANR,proanthocyanidin,CRETICULATA,within_genotype_sector,Xu2023_reticulata_mixed_regions,10.1186/s12870-023-04655-4,yes,no,less_red,"ANR is higher in the white petal region",family_name_explicit_paralog_map_pending,"one C. reticulata independence cluster"
node,MYB_family,regulatory,CRETICULATA,within_genotype_sector,Xu2023_reticulata_mixed_regions,10.1186/s12870-023-04655-4,yes,no,colour_linked,"MYB coexpression is implicated in red/white sector differences",family_level_only,"not a named ortholog-level effect"
node,ANS,anthocyanin_downstream,CRETICULATA,within_genotype_developmental,Zhou2026_Tongzimian_fading,10.3389/fpls.2026.1831409,no,yes,more_red,"CrANS decreases during pink-to-white fading and heterologous overexpression deepens colour",named_gene_functional_cross_species_validation,"functional test is heterologous; still one C. reticulata independence cluster"
node,UFGT,anthocyanin_downstream,CRETICULATA,cultivar_gradient,Geng2022_reticulata_red_pink_white,10.3389/fgene.2022.1059717,yes,no,more_red,"four highlighted UFGT loci are red>white; three show red>pink>white in recovered processed tables",family_with_multiple_loci,"locus-level orthology across species still required"
module,anthocyanin_downstream,anthocyanin_downstream,CRETICULATA,cultivar_sector_development,"Geng2022_reticulata_red_pink_white;Xu2023_reticulata_mixed_regions;Zhou2026_Tongzimian_fading","10.3389/fgene.2022.1059717;10.1186/s12870-023-04655-4;10.3389/fpls.2026.1831409",yes,yes,more_red,"anthocyanin abundance, structural expression, sector contrast and fading all implicate downstream anthocyanin deployment",module_level,"multiple publications collapse to one C. reticulata cluster"
module,proanthocyanidin,proanthocyanidin,CRETICULATA,sector_development,"Xu2023_reticulata_mixed_regions;Zhou2026_Tongzimian_fading","10.1186/s12870-023-04655-4;10.3389/fpls.2026.1831409",yes,no,less_red_relative,"ANR/procyanidin diversion is elevated in white/fading states",module_level,"one C. reticulata cluster"
module,regulatory,regulatory,CRETICULATA,cultivar_sector_development,"Xu2023_reticulata_mixed_regions;Zhou2026_Tongzimian_fading","10.1186/s12870-023-04655-4;10.3389/fpls.2026.1831409",yes,yes,colour_linked,"MYB coexpression and functional CrANS-related regulation support regulatory lability",module_level,"one C. reticulata cluster"
node,F3H,anthocyanin_upstream,CSASANQUA,cultivar_gradient,Fan2023_sasanqua_diversity,10.1007/s11103-022-01324-2,no,no,colour_linked,"F3H is among structural modules associated with cultivar colour diversity",family_name_explicit_paralog_map_pending,"source accession still requires verification"
node,F3H_prime,anthocyanin_upstream,CSASANQUA,cultivar_gradient,Fan2023_sasanqua_diversity,10.1007/s11103-022-01324-2,no,no,colour_linked,"F3'H is among structural modules associated with cultivar colour diversity",family_name_explicit_paralog_map_pending,"source accession still requires verification"
node,ANS,anthocyanin_downstream,CSASANQUA,cultivar_gradient,Fan2023_sasanqua_diversity,10.1007/s11103-022-01324-2,no,no,colour_linked,"ANS is among structural modules associated with cultivar colour diversity",family_name_explicit_paralog_map_pending,"source accession still requires verification"
module,anthocyanin_downstream,anthocyanin_downstream,CSASANQUA,cultivar_gradient,Fan2023_sasanqua_diversity,10.1007/s11103-022-01324-2,no,no,colour_linked,"anthocyanin composition and structural/TF modules vary across 20 cultivars",module_level,"source accession still requires verification"
module,regulatory,regulatory,CSASANQUA,cultivar_gradient,Fan2023_sasanqua_diversity,10.1007/s11103-022-01324-2,no,no,colour_linked,"TF modules accompany cultivar colour diversity",module_level,"source accession still requires verification"
node,FLS,flavonol,CNITIDISSIMA,developmental,"Nitidissima2017_yellow_development;Feng2024_nitidissima_FLS2","10.3389/fpls.2017.01545;10.1186/s12870-024-05332-w",yes,yes,yellow_development,"FLS family deployment changes through yellow development; CnFLS2 is functionally validated and high in petal development",named_paralog_available_for_CnFLS2,"two papers collapse to one C. nitidissima cluster"
module,flavonol,flavonol,CNITIDISSIMA,developmental,"Nitidissima2017_yellow_development;Feng2024_nitidissima_FLS2","10.3389/fpls.2017.01545;10.1186/s12870-024-05332-w",yes,yes,yellow_development,"flavonol glycosides and FLS deployment change during golden-yellow development",module_level,"one C. nitidissima cluster"
module,carotenoid,carotenoid,CNITIDISSIMA,developmental,Nitidissima2017_yellow_development,10.3389/fpls.2017.01545,yes,no,yellow_development,"carotenoid abundance/pathway changes through flower development",module_level_node_map_pending,"node-level carotenoid accessibility not yet scored"
node,FLS,flavonol,CPERPETUA,developmental,Zhu2024_perpetua_yellow_development,10.1007/s44281-024-00052-5,yes,no,yellow_development,"FLS is identified as a hub expression feature during yellowing",family_name_explicit_paralog_map_pending,"one C. perpetua cluster"
module,flavonol,flavonol,CPERPETUA,developmental,Zhu2024_perpetua_yellow_development,10.1007/s44281-024-00052-5,yes,no,yellow_development,"flavonoid/FLS deployment changes through five-stage yellow development",module_level,"one C. perpetua cluster"
module,carotenoid,carotenoid,CHUANA,colour_variant_developmental,Huana2025_golden_red_variant,10.1186/s12870-025-06549-z,no,no,red_vs_golden,"matched-stage red outer-petal material has 21/22 differential carotenoids higher at bud and 18/18 higher at full bloom",module_level_node_map_pending,"one C. huana system proves module accessibility, not node recurrence"
