reference_id,first_author,year,title,journal,volume,issue,pages_or_article,doi,role,status
R12_Zhou2020,Zhou,2020,Metabolome and Transcriptome Analysis Reveals Putative Genes Involved in Anthocyanin Accumulation and Coloration in White and Pink Tea (Camellia sinensis) Flower,Molecules,25,1,190,10.3390/molecules25010190,candidate_free_source_CSIN_WHITE_PINK,verified_primary_article
R13_Zhou2017,Zhou,2017,De novo Assembly of the Camellia nitidissima Transcriptome Reveals Key Genes of Flower Pigment Biosynthesis,Frontiers in Plant Science,8,,1545,10.3389/fpls.2017.01545,candidate_free_source_CNITIDISSIMA,verified_primary_article
R14_Zhu2024,Zhu,2024,Dynamic metabolomic and transcriptomic profiling reveals yellow flower development in Camellia perpetua a rare continuously flowering golden Camellia species,Horticulture Advances,2,1,29,10.1007/s44281-024-00052-5,candidate_free_source_CPERPETUA,verified_primary_article
R15_WFO2026,World Flora Online Consortium,2026,World Flora Online Plant List June 2026,Zenodo,,,dataset,10.5281/zenodo.20782718,taxonomy_snapshot,verified_zenodo
R16_Conte2012,Conte,2012,The probability of genetic parallelism and convergence in natural populations,Proceedings of the Royal Society B: Biological Sciences,279,1749,5039-5047,10.1098/rspb.2012.2146,novelty_repeatability_prior_art,verified_prior_art_audit
R17_NgSmith2016,Ng,2016,Widespread flower color convergence in Solanaceae via alternate biochemical pathways,New Phytologist,209,1,407-417,10.1111/nph.13576,novelty_alternate_pathways_prior_art,verified_prior_art_audit
R18_Larter2018,Larter,2018,Convergent Evolution at the Pathway Level: Predictable Regulatory Changes during Flower Color Transitions,Molecular Biology and Evolution,35,9,2159-2169,10.1093/molbev/msy117,novelty_pathway_convergence_prior_art,verified_prior_art_audit
R19_Wheeler2023,Wheeler,2023,Evolutionary walks through flower colour space driven by gene expression in Petunia and allies (Petunieae),Proceedings of the Royal Society B: Biological Sciences,290,,20230275,10.1098/rspb.2023.0275,novelty_pathway_wide_expression_prior_art,verified_prior_art_audit
R20_Xiao2025,Xiao,2025,The molecular basis underlying phenotypic diversity in Camellia flower coloration and the evolution of research paradigms,Scientia Horticulturae,353,,114474,10.1016/j.scienta.2025.114474,novelty_camellia_review_prior_art,verified_prior_art_audit
R21_Revell2025,Revell,2025,Ancestral State Reconstruction of Phenotypic Characters,Evolutionary Biology,52,,1-25,10.1007/s11692-025-09645-y,novelty_event_uncertainty_prior_art,verified_prior_art_audit
R22_Jiang2025Semiserrata,Jiang,2025,Integration of transcriptomic and chemical analysis reveals key regulatory mechanisms involved in color variation between red and white flowers of Camellia semiserrata,Genetic Resources and Crop Evolution,72,Suppl 1,333-352,10.1007/s10722-025-02606-6,literature_ascertainment_CSEMISERRATA,verified_formal_db_search
R23_Luo2016,Luo,2016,Disequilibrium of Flavonol Synthase and Dihydroflavonol-4-Reductase Expression Associated Tightly to White vs. Red Color Flower Formation in Plants,Frontiers in Plant Science,6,,1257,10.3389/fpls.2015.01257,literature_recurrence_CJAPONICA_F,verified_primary_article
R24_Mori2023,Mori,2023,Color strategies of camellias recruiting different pollinators,Phytochemistry,207,,113559,10.1016/j.phytochem.2022.113559,camellia_model_system_pollinator_contrast,verified_primary_article
R25_Sun2017,Sun,2017,Nectar properties and the role of sunbirds as pollinators of the golden-flowered tea (Camellia petelotii),American Journal of Botany,104,3,468-476,10.3732/ajb.1600428,camellia_model_system_mixed_pollination,verified_primary_article
