taxon,colour_state,section,n_points,bio6_q05,max_abs_loo_q05_change_C,median_abs_loo_q05_change_C,provisional_minimum_gate_n20_loo1C,provisional_strong_gate_n40_loo0_5C,minimum_gate_reason,strong_gate_reason
Camellia kwangsiensis,W,sect. Thea,6,3.800000000000026,1.6699999999999982,0.10999999999999988,False,False,n_points_lt_20,n_points_lt_40
Camellia lawii,W,sect. Paracamellia,11,-0.7999999999999736,1.3599999999999985,0.055000000000000604,False,False,n_points_lt_20,n_points_lt_40
Camellia lutchuensis,W,sect. Theopsis,27,-1.8899999999999713,0.9149999999999965,0.0600000000000005,True,False,pass,n_points_lt_40
Camellia parafurfuracea,W,sect. Furfuracea,6,4.550000000000025,2.2399999999999984,0.14000000000000012,False,False,n_points_lt_20,n_points_lt_40
Camellia parviflora,W,sect. Paracamellia,48,3.0900000000000256,0.15999999999999837,0.010000000000000231,True,True,pass,pass
Camellia puniceiflora,W,sect. Camellia,23,2.710000000000024,0.18500000000000227,0.020000000000000018,True,False,pass,n_points_lt_40
Camellia rhytidocarpa,W,sect. Tuberculatae,16,1.4250000000000262,0.4749999999999983,0.040000000000000036,False,False,n_points_lt_20,n_points_lt_40
Camellia salicifolia,W,sect. Paracamellia,80,3.7550000000000283,0.14500000000000002,0.010000000000000231,True,True,pass,pass
Camellia shensiensis,W,sect. Thea,12,-3.73999999999997,1.089999999999999,0.010000000000000231,False,False,n_points_lt_20,n_points_lt_40
Camellia sinensis,W,sect. Thea,80,-4.374999999999965,0.17499999999999716,0.010000000000000231,True,True,pass,pass
Camellia szechuanensis,W,sect. Thea,24,-0.2099999999999702,0.4100000000000006,0.03000000000000025,True,False,pass,n_points_lt_40
Camellia tachangensis,W,sect. Thea,33,2.770000000000026,0.5199999999999991,0.029999999999999805,True,False,pass,n_points_lt_40
Camellia taliensis,W,sect. Thea,14,-0.4049999999999736,2.3149999999999986,0.0649999999999995,False,False,n_points_lt_20,n_points_lt_40
Camellia tsaii,W,sect. Paracamellia,34,2.2750000000000283,0.42499999999999716,0.025000000000000355,True,False,pass,n_points_lt_40
Camellia tuberculata,W,sect. Tuberculatae,10,0.40000000000002656,0.6699999999999982,0.049999999999998934,False,False,n_points_lt_20,n_points_lt_40
Camellia yunnanensis,W,sect. Thea,45,-0.5899999999999697,0.6849999999999987,0.040000000000000036,True,False,pass,q05_loo_gt_0_5C
Camellia cuspidata,W,sect. Theopsis,80,3.9150000000000285,0.23499999999999943,0.015000000000000124,True,True,pass,pass
Camellia pubipetala,W,sect. Eriandria,80,6.235000000000028,0.19500000000000028,0.01499999999999968,True,True,pass,pass
Camellia yuhsienensis,W,sect. Paracamellia,38,2.4950000000000254,0.3450000000000002,0.025000000000000355,True,False,pass,n_points_lt_40
Camellia albogigas,W,sect. Archecamellia,18,5.7150000000000265,0.6550000000000011,0.04499999999999993,False,False,n_points_lt_20,n_points_lt_40
Camellia petelotii,Y,sect. Chrysantha,5,8.090000000000023,0.4300000000000015,0.040000000000000036,False,False,n_points_lt_20,n_points_lt_40
Camellia nitidissima,Y,sect. Chrysantha,5,8.870000000000022,0.5100000000000016,0.040000000000000036,False,False,n_points_lt_20,n_points_lt_40
