hypothesis,system,scope,evidence_class,evidence_role,evidence_summary,source_reference,independence_note
H3_HIERARCHICAL_REPEATABILITY,AQUILEGIA,V0_5_REGISTRY,PARTIAL_SUPPORT,PATHWAY_EXPRESSION_RECURRENCE,"anthocyanin-loss lineages repeatedly show stronger downstream pathway downregulation without a universal exact regulator",10.1111/j.1365-294X.2006.03114.x,"six macro losses / seven molecular lineages"
H3_HIERARCHICAL_REPEATABILITY,IOCHROMINAE,V0_5_REGISTRY,DIRECT_SUPPORT,PATHWAY_MODULE_RECURRENCE,"four independent anthocyanin losses converge on late-pathway expression while exact causal variants are resolved only for a subset",10.1093/molbev/msy117,"four robust macro losses"
H3_HIERARCHICAL_REPEATABILITY,IPOMOEA_ASTRIPOMOEINAE,V0_5_REGISTRY,PARTIAL_SUPPORT,EXACT_GENE_POSITIVE_CONTROL,"three robust red origins repeatedly implicate floral F3'H regulation, showing that fine-level recurrence can also occur",10.1111/j.1469-8137.2009.02929.x,"complete multivariate programme not measured"
H4_REPRESENTATION_AND_OBSERVATION_RESOLUTION_DEPENDENCE,CAMELLIA,V0_5_REGISTRY,DIRECT_SUPPORT,OBSERVATION_REGIME,"same public molecular systems yield narrower recurrence after frozen candidate-free A/F/C/P remeasurement than under incomplete literature observation",internal_science_v0.2.2,"direct same-system observation intervention"
H4_REPRESENTATION_AND_OBSERVATION_RESOLUTION_DEPENDENCE,LINOIDEAE,V0_5_REGISTRY,DIRECT_SUPPORT,MACRO_STATE_GRANULARITY,"fine-state phylogenetic organization is supported while the preselected biological coarse partition is not enriched over alternative partitions",data/cross_radiation_state_granularity_v0_3.json,"one of three external macro radiations"
H4_REPRESENTATION_AND_OBSERVATION_RESOLUTION_DEPENDENCE,ANGRAECINAE,V0_5_REGISTRY,DIRECT_SUPPORT,MACRO_STATE_GRANULARITY,"fine-state organization is supported while coarse-partition specificity is only intermediate and no universal direction is supported",data/cross_radiation_state_granularity_v0_3.json,"one of three external macro radiations"
H4_REPRESENTATION_AND_OBSERVATION_RESOLUTION_DEPENDENCE,ANTIRRHINEAE,V0_5_REGISTRY,DIRECT_SUPPORT,MACRO_STATE_GRANULARITY,"fine-state organization is supported while the biological coarse partition is not enriched over alternatives",data/cross_radiation_state_granularity_v0_3.json,"one of three external macro radiations"
H4_REPRESENTATION_AND_OBSERVATION_RESOLUTION_DEPENDENCE,IOCHROMINAE,V0_5_REGISTRY,DIRECT_SUPPORT,PHENOTYPE_AXIS_LOCALIZATION,"hue maps to a branching-enzyme subspace whereas intensity maps to a late-pathway coexpression module",data/iochrominae_cross_level_bridge_summary_v0_1.json,"retrospective within-radiation axis comparison"
H4_REPRESENTATION_AND_OBSERVATION_RESOLUTION_DEPENDENCE,ERICA_CAPE,V0_5_REGISTRY,DIRECT_SUPPORT,PHENOTYPE_AXIS_LOCALIZATION,"yellow hue branch concentrates on F3'H whereas white pigment depletion disperses across late and regulatory nodes",data/erica_phenotype_axis_molecular_bridge_summary_v0_1.json,"retrospective putative comparison sets"
H4_REPRESENTATION_AND_OBSERVATION_RESOLUTION_DEPENDENCE,PETUNIEAE,POST_V0_5_PROSPECTIVE,DIRECT_SUPPORT,PROSPECTIVE_PHENOTYPE_AXIS_LOCALIZATION,"pre-frozen hue response selects BRANCHING_HUE strongly while raw pigment amount fails the frozen localization gate",data/petunieae_prospective_cross_level_v0_1.json,"only prospectively frozen paired phenotype-axis test"
H5_ACCESSIBILITY_REALIZATION_GAP,CAMELLIA,V0_5_REGISTRY,PARTIAL_SUPPORT,GENERATION_PATTERN_EVENT_SEPARATION,"molecular generation, robust local colour pattern and individual historical event identity resolve at different evidential strengths",docs/PAPER1_SCIENTIFIC_CLOSURE_V1_0.md,"molecular and macro arms are not event-for-event matched"
H5_ACCESSIBILITY_REALIZATION_GAP,EPIMEDIUM_DIPHYLLON,V0_5_REGISTRY,PARTIAL_SUPPORT,ENDPOINT_VS_EVENT_IDENTITY,"endpoint molecular recurrence is measurable while historical event independence remains unresolved under topology conflict",data/epimedium_cross_level_endpoint_bridge_summary_v0_1.json,"supports gap in identifiable realization, not a direct feasible-state census"
H5_ACCESSIBILITY_REALIZATION_GAP,NICOTIANA,V0_5_REGISTRY,IDENTIFIABILITY_STRESS,RETICULATION_STRESS,"hybridization and polyploidy complicate clean mapping from floral spectral mechanisms to independent historical events",docs/CROSS_CLADE_EVIDENCE_TIER_ARCHITECTURE_V0_5.md,"stress test rather than positive accessibility estimate"
H6_ECOLOGICAL_FILTERING_CONDITIONAL_ON_LATENT_PHENOTYPE,CAMELLIA,V0_5_REGISTRY,PARTIAL_SUPPORT,COARSE_HUE_NEGATIVE_PLUS_POLLINATOR_CHAIN,"annual-climate/coarse-hue rules are weak while pollinator-service and latent sensory/reward filtering remain better-supported candidate classes; branch cause unresolved",docs/PAPER1_ECOLOGICAL_CAUSE_STATUS_V1_0.md,"no historical accepted-species branch assigned a cause"
H6_ECOLOGICAL_FILTERING_CONDITIONAL_ON_LATENT_PHENOTYPE,PETUNIA_LONG_TUBE_CLADE,V0_5_REGISTRY,DIRECT_SUPPORT,POLLINATION_SYNDROME_FUNCTIONAL_GENETICS,"colour, scent and morphology are tightly tied to bee/hawkmoth/hummingbird syndromes with functional genetic evidence",docs/CROSS_CLADE_EVIDENCE_TIER_ARCHITECTURE_V0_5.md,"strong ecological control; not isolated colour-only selection"
H6_ECOLOGICAL_FILTERING_CONDITIONAL_ON_LATENT_PHENOTYPE,AQUILEGIA,V0_5_REGISTRY,DIRECT_SUPPORT,POLLINATOR_TRANSITION_EXPERIMENT,"independent anthocyanin losses align with hawkmoth transitions and experiments favour pale flowers under hawkmoth pollination",docs/CROSS_CLADE_EVIDENCE_TIER_ARCHITECTURE_V0_5.md,"supports conditional ecological filtering"
H6_ECOLOGICAL_FILTERING_CONDITIONAL_ON_LATENT_PHENOTYPE,SILENE_PHYSOLYCHNIS,V0_5_REGISTRY,PARTIAL_SUPPORT,POLLINATOR_ASSOCIATION,"red-flower/hummingbird transitions and related within-species polymorphism provide a bridge between filtering and maintained variation",docs/CROSS_CLADE_EVIDENCE_TIER_ARCHITECTURE_V0_5.md,"association/bridge evidence; not a universal causal test"
H6_ECOLOGICAL_FILTERING_CONDITIONAL_ON_LATENT_PHENOTYPE,EUONYMUS,V0_5_REGISTRY,DIRECT_SUPPORT,POLLINATION_SYNDROME,"red state repeatedly associates with fungus-gnat pollination, short stamens and acetoin while root colour remains uncertain",10.1093/aob/mcad122,"ecological control independent of white-root admission"
H6_ECOLOGICAL_FILTERING_CONDITIONAL_ON_LATENT_PHENOTYPE,LINANTHUS,V0_5_REGISTRY,DIRECT_SUPPORT,LOCAL_SELECTION,"reciprocal-transplant and long-term fitness evidence supports local selection on blue/white morphs",docs/CROSS_CLADE_EVIDENCE_TIER_ARCHITECTURE_V0_5.md,"spatial-maintenance control rather than macro root anchor"
