morphology_row,source_taxon,source_group,sepal_code,sepal_binary,petal_code,petal_binary,labellum_code,labellum_binary,spur_code,spur_binary,display_perianth_concordant,all4_concordant
21,Angraecoides chevalieri,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
22,Angraecoides cultriformis,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
23,Angraecoides erecta,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
24,Angraecopsis parviflora,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
25,Angraecum amplexicaule,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
26,Angraecum ankeranense,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
27,Angraecum appendiculatum,ANGRAECINAE,3,OUTSIDE_BINARY,2,WHITE,2,WHITE,1,GREEN,OUTSIDE_BINARY,OUTSIDE_BINARY
28,Angraecum arachnites,ANGRAECINAE,3,OUTSIDE_BINARY,2,WHITE,2,WHITE,2,WHITE,OUTSIDE_BINARY,OUTSIDE_BINARY
29,Angraecum baronii,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
30,Angraecum borbonicum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
31,Angraecum bracteosum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
32,Angraecum cadetii,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
33,Angraecum calceolus,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
34,Angraecum caricifolium,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
35,Angraecum caulescens,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
36,Angraecum cf. breve,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
37,Angraecum cf. elephantinum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
38,Angraecum cf. germinyanum,ANGRAECINAE,3,OUTSIDE_BINARY,2,WHITE,2,WHITE,2,WHITE,OUTSIDE_BINARY,OUTSIDE_BINARY
39,Angraecum cf. humblotianum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
40,Angraecum cf. humile,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
41,Angraecum cf. liliodorum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
42,Angraecum cf. panicifolium,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
43,Angraecum cf. pauciramosum,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
44,Angraecum cf. peyrotii,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
45,Angraecum cf. pinifolium,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
46,Angraecum cf. rutenbergianum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
47,Angraecum cf. sacculatum,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
48,Angraecum cf. zeylanicum,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
49,Angraecum chaetopodium,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
50,Angraecum clareae,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
51,Angraecum compactum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
52,Angraecum conchiferum,ANGRAECINAE,3,OUTSIDE_BINARY,2,WHITE,2,WHITE,2,WHITE,OUTSIDE_BINARY,OUTSIDE_BINARY
53,Angraecum conchoglossum,ANGRAECINAE,3,OUTSIDE_BINARY,2,WHITE,2,WHITE,2,WHITE,OUTSIDE_BINARY,OUTSIDE_BINARY
54,Angraecum cordemoyi,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
55,Angraecum cornigerum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
56,Angraecum corrugatum,ANGRAECINAE,3,OUTSIDE_BINARY,2,WHITE,2,WHITE,1,GREEN,OUTSIDE_BINARY,OUTSIDE_BINARY
57,Angraecum costatum,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
58,Angraecum cucullatum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
59,Angraecum danguyanum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
60,Angraecum dasycarpum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
61,Angraecum didieri,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
62,Angraecum dives,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
63,Angraecum drouhardii,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
64,Angraecum dryadum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
65,Angraecum eburneum var. eburneum,ANGRAECINAE,1,GREEN,1,GREEN,2,WHITE,1,GREEN,GREEN,OUTSIDE_BINARY
66,Angraecum eburneum var. superbum,ANGRAECINAE,1,GREEN,1,GREEN,2,WHITE,1,GREEN,GREEN,OUTSIDE_BINARY
67,Angraecum eburneum var. xerophilum,ANGRAECINAE,1,GREEN,1,GREEN,2,WHITE,1,GREEN,GREEN,OUTSIDE_BINARY
68,Angraecum elephantinum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
69,Angraecum expansum,ANGRAECINAE,3,OUTSIDE_BINARY,2,WHITE,2,WHITE,2,WHITE,OUTSIDE_BINARY,OUTSIDE_BINARY
70,Angraecum filicornu,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
71,Angraecum florulentum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
72,Angraecum germinyanum,ANGRAECINAE,3,OUTSIDE_BINARY,2,WHITE,2,WHITE,2,WHITE,OUTSIDE_BINARY,OUTSIDE_BINARY
73,Angraecum hermannii,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
74,Angraecum huntleyoides,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
75,Angraecum lecomtei,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
76,Angraecum leonis,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
77,Angraecum letouzeyi,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
78,Angraecum liliodorum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
79,Angraecum linearifolium,ANGRAECINAE,3,OUTSIDE_BINARY,2,WHITE,2,WHITE,2,WHITE,OUTSIDE_BINARY,OUTSIDE_BINARY
80,Angraecum longicalcar,ANGRAECINAE,1,GREEN,1,GREEN,2,WHITE,1,GREEN,GREEN,OUTSIDE_BINARY
81,Angraecum madagascariense,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
82,Angraecum magdalenae,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
83,Angraecum mauritianum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
84,Angraecum mirabile,ANGRAECINAE,3,OUTSIDE_BINARY,2,WHITE,2,WHITE,2,WHITE,OUTSIDE_BINARY,OUTSIDE_BINARY
85,Angraecum moratii,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
86,Angraecum multiflorum,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
87,Angraecum musculiferum,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
88,Angraecum nanum,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
89,Angraecum obesum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
90,Angraecum oblongifolium,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
91,Angraecum obversifolium,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
92,Angraecum ochraceum,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
93,Angraecum panicifolium,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
94,Angraecum pauciramosum,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
95,Angraecum pectinatum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
96,Angraecum penzigianum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
97,Angraecum perparvulum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
98,Angraecum peyrotii,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
99,Angraecum pingue,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
100,Angraecum pinifolium,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
101,Angraecum praestans,ANGRAECINAE,1,GREEN,1,GREEN,2,WHITE,2,WHITE,GREEN,OUTSIDE_BINARY
102,Angraecum pseudodidieri,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
103,Angraecum pseudofilicornu,ANGRAECINAE,3,OUTSIDE_BINARY,2,WHITE,2,WHITE,2,WHITE,OUTSIDE_BINARY,OUTSIDE_BINARY
104,Angraecum pterophyllum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
105,Angraecum ramosum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
106,Angraecum rhynchoglossum,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
107,Angraecum sacciferum,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
108,Angraecum scottianum,ANGRAECINAE,3,OUTSIDE_BINARY,2,WHITE,2,WHITE,2,WHITE,OUTSIDE_BINARY,OUTSIDE_BINARY
109,Angraecum sedifolium,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
110,Angraecum serpens,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
111,Angraecum sesquipedale,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
112,Angraecum setipes,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
113,Angraecum sororium,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
114,Angraecum sterophyllum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
115,Angraecum striatum,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
116,Angraecum tenuifolium,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
117,Angraecum tenuispica,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
118,Angraecum teres,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
119,Angraecum triangulifolium,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
120,Angraecum viguieri,ANGRAECINAE,3,OUTSIDE_BINARY,1,GREEN,2,WHITE,2,WHITE,OUTSIDE_BINARY,OUTSIDE_BINARY
121,Beclardia macrostachya,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
122,Bolusiella iridifolia,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
123,Bolusiella maudiae,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
124,Calyptrochilum christyanum,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
125,Campylocentrum fasciola,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
126,Cribbia brachyceras,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
127,Cribbia confusa,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
128,Cryptopus elatus,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
129,Cryptopus paniculatus,ANGRAECINAE,1,GREEN,1,GREEN,2,WHITE,2,WHITE,GREEN,OUTSIDE_BINARY
130,Cyrtorchis arcuata,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
131,Cyrtorchis chailluana,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
132,Dendrophylax funalis,ANGRAECINAE,1,GREEN,1,GREEN,2,WHITE,1,GREEN,GREEN,OUTSIDE_BINARY
133,Diaphananthe pellucida,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
134,Diaphananthe sarcophylla,ANGRAECINAE,3,OUTSIDE_BINARY,3,OUTSIDE_BINARY,3,OUTSIDE_BINARY,3,OUTSIDE_BINARY,OUTSIDE_BINARY,OUTSIDE_BINARY
135,Diaphananthe vesicata,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
136,Dolabrifolia bancoensis,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
137,Dolabrifolia cf. aporoides,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
138,Dolabrifolia disticha,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
139,Dolabrifolia podochiloides,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
140,Eichlerangraecum birrimense,ANGRAECINAE,1,GREEN,1,GREEN,2,WHITE,1,GREEN,GREEN,OUTSIDE_BINARY
141,Eichlerangraecum cf. eichlerianum,ANGRAECINAE,1,GREEN,1,GREEN,2,WHITE,1,GREEN,GREEN,OUTSIDE_BINARY
142,Eichlerangraecum infundibulare,ANGRAECINAE,1,GREEN,1,GREEN,2,WHITE,1,GREEN,GREEN,OUTSIDE_BINARY
143,Erasanthe henricii,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
144,Eurychone galeandrae,ANGRAECINAE,3,OUTSIDE_BINARY,2,WHITE,3,OUTSIDE_BINARY,2,WHITE,OUTSIDE_BINARY,OUTSIDE_BINARY
145,Eurychone rothschildiana,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
146,Jumellea anjouanensis,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
147,Jumellea arachnanta,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
148,Jumellea arborescens,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
149,Jumellea bosseri,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
150,Jumellea brevifolia,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
151,Jumellea densifoliata,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
152,Jumellea exilis,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
153,Jumellea francoisii,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
154,Jumellea hyalina,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
155,Jumellea jumelleana,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
156,Jumellea longivaginans,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
157,Jumellea majalis,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
158,Jumellea maxillarioides,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
159,Jumellea rigida,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
160,Jumellea spathulata,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
161,Jumellea tenuibracteata,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
162,Jumellea teretifolia,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
163,Lemurella pallidiflora,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
164,Lemurella papillosa,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
165,Lemurorchis madagascariensis,ANGRAECINAE,3,OUTSIDE_BINARY,3,OUTSIDE_BINARY,3,OUTSIDE_BINARY,2,WHITE,OUTSIDE_BINARY,OUTSIDE_BINARY
166,Listrostachys pertusa,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
167,Microcoelia gilpinae,ANGRAECINAE,3,OUTSIDE_BINARY,3,OUTSIDE_BINARY,3,OUTSIDE_BINARY,3,OUTSIDE_BINARY,OUTSIDE_BINARY,OUTSIDE_BINARY
168,Microcoelia stolzii,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
169,Mystacidium capense,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
170,Mystacidium flanaganii,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
171,Neobathiea grandidierana,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
172,Oeonia rosea,ANGRAECINAE,1,GREEN,1,GREEN,2,WHITE,2,WHITE,GREEN,OUTSIDE_BINARY
173,Oeoniella polystachys,ANGRAECINAE,1,GREEN,1,GREEN,2,WHITE,1,GREEN,GREEN,OUTSIDE_BINARY
174,Pectinariella atlantica,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
175,Pectinariella doratophylla,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
176,Pectinariella gabonensis,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
177,Pectinariella pungens,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
178,Pectinariella subulata,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
179,Phalaenopsis cornu-cervi,OUTGROUP,4,OUTSIDE_BINARY,4,OUTSIDE_BINARY,3,OUTSIDE_BINARY,3,OUTSIDE_BINARY,OUTSIDE_BINARY,OUTSIDE_BINARY
180,Podangis dactyloceras,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
181,Polystachya fulvilabia,OUTGROUP,4,OUTSIDE_BINARY,4,OUTSIDE_BINARY,3,OUTSIDE_BINARY,3,OUTSIDE_BINARY,OUTSIDE_BINARY,OUTSIDE_BINARY
182,Rangaeris amaniensis,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
183,Rangaeris muscicola,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
184,Rhipidoglossum subsimplex,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
185,Rhipidoglossum xanthopollinium,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
186,Sobennikoffia humbertiana,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,1,GREEN,WHITE,OUTSIDE_BINARY
187,Solenangis clavata,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
188,Solenangis wakefieldii,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
189,Sphyrarhynchus schliebenii,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
190,Tridactyle bicaudata,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
191,Tridactyle filifolia,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
192,Vanda tricolor,OUTGROUP,4,OUTSIDE_BINARY,4,OUTSIDE_BINARY,3,OUTSIDE_BINARY,3,OUTSIDE_BINARY,OUTSIDE_BINARY,OUTSIDE_BINARY
193,Ypsilopus longifolius,ANGRAECINAE,2,WHITE,2,WHITE,2,WHITE,2,WHITE,WHITE,WHITE
194,Ypsilopus viridiflorus,ANGRAECINAE,1,GREEN,1,GREEN,1,GREEN,1,GREEN,GREEN,GREEN
