tip_id,source_row,source_taxon,source_group,trait_join_status,matK_accession,rps16_accession,trnL_accession,ITS_accession
ANG049,49,Angraecum hermannii,ANGRAECINAE,EXACT_UNIQUE,KF557970,KF558072,KF558159,
ANG050,50,Angraecum huntleyoides,ANGRAECINAE,EXACT_UNIQUE,KF557961,KF558143,KF558191,
ANG051,51,Angraecum lecomtei,ANGRAECINAE,EXACT_UNIQUE,KT826800,KT826870,KT826938,
ANG052,52,Angraecum leonis,ANGRAECINAE,EXACT_UNIQUE,KF557999,KF558116,KF558187,
ANG053,53,Angraecum letouzeyi,ANGRAECINAE,EXACT_UNIQUE,KT826804,KT826874,KT826942,
ANG054,54,Angraecum liliodorum,ANGRAECINAE,EXACT_UNIQUE,KF557982,KF558100,KF558153,
ANG055,55,Angraecum linearifolium,ANGRAECINAE,EXACT_UNIQUE,KT826767,KT826837,KT826906,KF672215
ANG056,56,Angraecum longicalcar,ANGRAECINAE,EXACT_UNIQUE,KF558013,KF558052,KF558210,DQ091739
ANG057,57,Angraecum madagascariense,ANGRAECINAE,EXACT_UNIQUE,KT826775,KT826844,KT826912,
ANG058,58,Angraecum magdalenae,ANGRAECINAE,EXACT_UNIQUE,KF557995,KF558123,KF558219,
ANG059,59,Angraecum mauritianum,ANGRAECINAE,EXACT_UNIQUE,KT826815,KT826884,KT826953,
ANG060,60,Angraecum mirabile,ANGRAECINAE,EXACT_UNIQUE,KT826766,KT826836,KT826905,
ANG061,61,Angraecum moratii,ANGRAECINAE,EXACT_UNIQUE,KT826770,KT826840,KT826908,
ANG062,62,Angraecum multiflorum,ANGRAECINAE,EXACT_UNIQUE,KF557948,KF558053,KF558240,
ANG063,63,Angraecum musculiferum,ANGRAECINAE,EXACT_UNIQUE,KT826780,KT826850,KT826918,
ANG064,64,Angraecum obesum,ANGRAECINAE,EXACT_UNIQUE,KF558011,KF558054,KF558249,
ANG065,65,Angraecum oblongifolium,ANGRAECINAE,EXACT_UNIQUE,KT826771,KT826841,KT826909,
ANG066,66,Angraecum obversifolium,ANGRAECINAE,EXACT_UNIQUE,KF557962,KF558125,KF558259,
ANG067,67,Angraecum panicifolium,ANGRAECINAE,EXACT_UNIQUE,KT826821,KT826890,KT826959,
ANG068,68,Angraecum pauciramosum,ANGRAECINAE,EXACT_UNIQUE,KT826781,KT826851,KT826919,
ANG069,69,Angraecum pectinatum,ANGRAECINAE,EXACT_UNIQUE,KT826819,KT826888,KT826957,KF672211
ANG070,70,Angraecum penzigianum,ANGRAECINAE,EXACT_UNIQUE,KT826772,KT826842,KT826910,
ANG071,71,Angraecum peyrotii,ANGRAECINAE,EXACT_UNIQUE,KT826813,KT826882,KT826951,
ANG072,72,Angraecum pingue,ANGRAECINAE,EXACT_UNIQUE,KT826792,KT826862,KT826930,
ANG073,73,Angraecum pinifolium,ANGRAECINAE,EXACT_UNIQUE,KT826783,KT826853,KT826921,
ANG074,74,Angraecum praestans,ANGRAECINAE,EXACT_UNIQUE,KT826814,KT826883,KT826952,
ANG075,75,Angraecum pseudodidieri,ANGRAECINAE,EXACT_UNIQUE,KF558002,KF558032,KF558200,
ANG076,76,Angraecum pseudofilicornu,ANGRAECINAE,EXACT_UNIQUE,KT826768,KT826838,,
ANG077,77,Angraecum ramosum,ANGRAECINAE,EXACT_UNIQUE,,KF558037,KF558170,
ANG078,78,Angraecum sacciferum,ANGRAECINAE,EXACT_UNIQUE,KF558028,KF558101,,
ANG079,79,Angraecum scottianum,ANGRAECINAE,EXACT_UNIQUE,KF558017,KF558118,KF558163,AB217521
ANG080,80,Angraecum sedifolium,ANGRAECINAE,EXACT_UNIQUE,KT826793,KT826863,KT826931,
ANG081,81,Angraecum serpens,ANGRAECINAE,EXACT_UNIQUE,KT826773,KT826843,KT826911,
ANG082,82,Angraecum sesquipedale,ANGRAECINAE,EXACT_UNIQUE,KT826824,KT826893,KT826962,
ANG083,83,Angraecum setipes,ANGRAECINAE,EXACT_UNIQUE,KT826788,KT826858,KT826926,
ANG084,84,Angraecum sororium,ANGRAECINAE,EXACT_UNIQUE,KT826825,KT826894,KT826963,
ANG085,85,Angraecum sterophyllum,ANGRAECINAE,EXACT_UNIQUE,KT826812,,KT826950,
ANG086,86,Angraecum striatum,ANGRAECINAE,EXACT_UNIQUE,KF557991,KF558058,KF558214,
ANG087,87,Angraecum tenuifolium,ANGRAECINAE,EXACT_UNIQUE,KF557968,KF558035,KF558254,
ANG088,88,Angraecum tenuispica,ANGRAECINAE,EXACT_UNIQUE,KF557950,KF558099,KF558189,
ANG089,89,Angraecum teres,ANGRAECINAE,EXACT_UNIQUE,KF557969,KF558038,KF558198,DQ091755
ANG090,90,Angraecum triangulifolium,ANGRAECINAE,EXACT_UNIQUE,KT826794,KT826864,KT826932,
ANG091,91,Angraecum viguieri,ANGRAECINAE,EXACT_UNIQUE,KT826795,KT826865,KT826933,
ANG092,92,Angraecum nanum,ANGRAECINAE,EXACT_UNIQUE,KT826797,KT826868,KT826936,
ANG093,93,Oeoniella polystachys,ANGRAECINAE,EXACT_UNIQUE,KT826831,KT826900,,
ANG094,94,Sobennikoffia humbertiana,ANGRAECINAE,EXACT_UNIQUE,DQ091433,,DQ091558,DQ091750
ANG095,95,Lemurorchis madagascariensis,ANGRAECINAE,EXACT_UNIQUE,DQ091431,,DQ091556,DQ091747
ANG096,96,Aeranthes aemula,ANGRAECINAE,EXACT_UNIQUE,KT826826,KT826895,KT826964,
ANG097,97,Aeranthes arachnites,ANGRAECINAE,EXACT_UNIQUE,KF557945,KF558036,KF558232,DQ091759
ANG098,98,Aeranthes caudata,ANGRAECINAE,EXACT_UNIQUE,KF557929,KF558090,KF558206,
ANG099,99,Aeranthes grandiflora,ANGRAECINAE,EXACT_UNIQUE,KF557958,KF558050,KF558158,DQ091760
ANG100,100,Aeranthes longipes,ANGRAECINAE,EXACT_UNIQUE,KF557965,KF558094,KF558208,
ANG101,101,Aeranthes moratii,ANGRAECINAE,EXACT_UNIQUE,KF558024,KF558060,KF558225,
ANG102,102,Aeranthes neoperrieri,ANGRAECINAE,EXACT_UNIQUE,KF557953,KF558059,KF558199,
ANG103,103,Aeranthes strangulata,ANGRAECINAE,EXACT_UNIQUE,KF558005,KF558097,KF558183,
ANG104,104,Aeranthes tenella,ANGRAECINAE,EXACT_UNIQUE,KF557997,KF558117,,
ANG105,105,Aeranthes virginalis,ANGRAECINAE,EXACT_UNIQUE,KF557955,KF558071,KF558166,
ANG106,106,Jumellea anjouanensis,ANGRAECINAE,EXACT_UNIQUE,,KF558120,KF558152,
ANG107,107,Jumellea arachnantha,ANGRAECINAE,NO_EXACT_TRAIT_NAME_HELD,JQ905335,JQ905457,JQ905518,JQ905396
ANG108,108,Jumellea arborescens,ANGRAECINAE,EXACT_UNIQUE,KF557949,KF558095,KF558262,
ANG109,109,Jumellea bosseri,ANGRAECINAE,EXACT_UNIQUE,JQ905340,JQ905462,JQ905523,JQ905401
ANG110,110,Jumellea brevifolia,ANGRAECINAE,EXACT_UNIQUE,JQ905342,JQ905464,JQ905525,JQ905403
ANG111,111,Jumellea densifoliata,ANGRAECINAE,EXACT_UNIQUE,KF557966,KF558041,,JQ905405
ANG112,112,Jumellea exilis,ANGRAECINAE,EXACT_UNIQUE,KF558014,KF558048,KF558169,
ANG113,113,Jumellea francoisii,ANGRAECINAE,EXACT_UNIQUE,JQ905350,JQ905472,JQ905533,JQ905411
ANG114,114,Jumellea hyalina,ANGRAECINAE,EXACT_UNIQUE,JQ905354,JQ905476,JQ905537,JQ905415
ANG115,115,Jumellea jumelleana,ANGRAECINAE,EXACT_UNIQUE,JQ905356,JQ905478,JQ905539,JQ905417
ANG116,116,Jumellea longivaginans,ANGRAECINAE,EXACT_UNIQUE,JQ905362,JQ905484,JQ905545,JQ905423
ANG117,117,Jumellea majalis,ANGRAECINAE,EXACT_UNIQUE,JQ905366,JQ905488,JQ905549,JQ905427
ANG118,118,Jumellea maxillarioides,ANGRAECINAE,EXACT_UNIQUE,KF558004,KF558134,KF558161,
ANG119,119,Jumellea rigida,ANGRAECINAE,EXACT_UNIQUE,JQ905376,JQ905498,JQ905559,JQ905437
ANG120,120,Jumellea spathulata,ANGRAECINAE,EXACT_UNIQUE,JQ905380,JQ905502,JQ905563,JQ905441
ANG121,121,Jumellea tenuibracteata,ANGRAECINAE,EXACT_UNIQUE,JQ905360,JQ905482,JQ905543,
ANG122,122,Jumellea teretifolia,ANGRAECINAE,EXACT_UNIQUE,JQ905386,JQ905508,JQ905568,JQ905447
ANG123,123,Ancistrorhynchus capitatus,ANGRAECINAE,EXACT_UNIQUE,DQ091351,,DQ091475,DQ091643
ANG124,124,Ancistrorhynchus recurvus,ANGRAECINAE,EXACT_UNIQUE,DQ091354,,DQ091478,DQ091646
ANG125,125,Angraecoides chevalieri,ANGRAECINAE,EXACT_UNIQUE,,,AF506339,AF506320
ANG126,126,Angraecoides cultriformis,ANGRAECINAE,EXACT_UNIQUE,,,AF506340,AF506321
ANG127,127,Angraecoides erecta,ANGRAECINAE,EXACT_UNIQUE,DQ091323,,DQ091447,DQ091566
ANG128,128,Angraecoides cf. moandense,ANGRAECINAE,EXACT_UNIQUE,KF557944,KF558114,KF558214,
ANG129,129,Angraecopsis parviflora,ANGRAECINAE,EXACT_UNIQUE,KF557967,KF558046,KF558150,
ANG130,130,Bolusiella iridifolia,ANGRAECINAE,EXACT_UNIQUE,DQ091356,,DQ091481,DQ091665
ANG131,131,Bolusiella maudiae,ANGRAECINAE,EXACT_UNIQUE,DQ091355,,DQ091480,DQ091664
ANG132,132,Calyptrochilum christyanum,ANGRAECINAE,EXACT_UNIQUE,DQ091325,,DQ091449,DQ091668
ANG133,133,Campylocentrum fasciola,ANGRAECINAE,EXACT_UNIQUE,DQ091321,,DQ091445,DQ091564
ANG134,134,Cribbia brachyceras,ANGRAECINAE,EXACT_UNIQUE,DQ091365,,DQ091490,DQ091577
ANG135,135,Cribbia confusa,ANGRAECINAE,EXACT_UNIQUE,DQ091366,,DQ091491,DQ091578
ANG136,136,Cyrtorchis arcuata,ANGRAECINAE,EXACT_UNIQUE,DQ091380,,DQ091505,DQ091624
ANG137,137,Cyrtorchis chailluana,ANGRAECINAE,EXACT_UNIQUE,DQ091381,,DQ091506,DQ091625
ANG138,138,Dendrophylax funalis,ANGRAECINAE,EXACT_UNIQUE,KF557981,KF558067,KF558238,AF506310
ANG139,139,Diaphananthe pellucida,ANGRAECINAE,EXACT_UNIQUE,DQ091377,,DQ091502,DQ091620
ANG140,140,Diaphananthe sarcophylla,ANGRAECINAE,EXACT_UNIQUE,DQ091378,,DQ091503,DQ091621
ANG141,141,Diaphananthe vesicata,ANGRAECINAE,EXACT_UNIQUE,KF557976,,KF558205,DQ091623
ANG142,142,Dolabrifolia bancoensis,ANGRAECINAE,EXACT_UNIQUE,KF672280,KF672257,,
ANG143,143,Dolabrifolia cf. aporoides,ANGRAECINAE,EXACT_UNIQUE,KF672266,KF672230,,
ANG144,144,Dolabrifolia disticha,ANGRAECINAE,EXACT_UNIQUE,KF672265,KF672231,,
ANG145,145,Dolabrifolia podochiloides,ANGRAECINAE,EXACT_UNIQUE,KF672281,KF672238,,
ANG146,146,Eichlerangraecum birrimense,ANGRAECINAE,EXACT_UNIQUE,KF557930,KF558098,KF558196,
ANG147,147,Eichlerangraecum cf. eichlerianum,ANGRAECINAE,EXACT_UNIQUE,KF557978,KF558069,KF558263,AF506322
ANG148,148,Eichlerangraecum infundibulare,ANGRAECINAE,EXACT_UNIQUE,KF557977,KF558077,KF558243,
ANG149,149,Eurychone galeandrae,ANGRAECINAE,EXACT_UNIQUE,DQ091349,,DQ091473,DQ091614
ANG150,150,Eurychone rothschildiana,ANGRAECINAE,EXACT_UNIQUE,DQ091350,,DQ091474,DQ091615
ANG151,151,Aerangis ellisii,ANGRAECINAE,EXACT_UNIQUE,KF557992,KF558043,,DQ091602
ANG152,152,Aerangis hariotiana,ANGRAECINAE,EXACT_UNIQUE,DQ091343,,DQ091467,DQ091606
ANG153,153,Aerangis hildebrandtii,ANGRAECINAE,EXACT_UNIQUE,DQ091344,,DQ091468,DQ091608
ANG154,154,Aerangis macrocentra,ANGRAECINAE,EXACT_UNIQUE,KF557923,KF558085,,DQ091601
ANG155,155,Aerangis punctata,ANGRAECINAE,EXACT_UNIQUE,KF557936,KF558040,,DQ091605
ANG156,156,Listrostachys pertusa,ANGRAECINAE,EXACT_UNIQUE,DQ091384,,DQ091509,DQ091637
ANG157,157,Microcoelia gilpinae,ANGRAECINAE,EXACT_UNIQUE,DQ091397,,DQ091522,DQ091649
ANG158,158,Microcoelia stolzii,ANGRAECINAE,EXACT_UNIQUE,DQ091405,,DQ091530,DQ091657
ANG159,159,Mystacidium capense,ANGRAECINAE,EXACT_UNIQUE,DQ091362,,DQ091487,DQ091573
ANG160,160,Mystacidium flanaganii,ANGRAECINAE,EXACT_UNIQUE,DQ091363,,DQ091488,DQ091574
ANG161,161,Pectinariella atlantica,ANGRAECINAE,EXACT_UNIQUE,KF672274,KF672235,,
ANG162,162,Pectinariella doratophylla,ANGRAECINAE,EXACT_UNIQUE,KF672261,KF672247,,
ANG163,163,Pectinariella gabonensis,ANGRAECINAE,EXACT_UNIQUE,KF672279,KF672237,,
ANG164,164,Pectinariella pungens,ANGRAECINAE,EXACT_UNIQUE,KF672278,KF672254,,
ANG165,165,Pectinariella subulata,ANGRAECINAE,EXACT_UNIQUE,KF672285,KF672251,,
ANG166,166,Podangis dactyloceras,ANGRAECINAE,EXACT_UNIQUE,DQ091385,,DQ091510,DQ091628
ANG167,167,Rangaeris amaniensis,ANGRAECINAE,EXACT_UNIQUE,DQ091386,,DQ091512,
ANG168,168,Rangaeris muscicola,ANGRAECINAE,EXACT_UNIQUE,DQ091387,,DQ091513,DQ091630
ANG169,169,Rhipidoglossum subsimplex,ANGRAECINAE,EXACT_UNIQUE,DQ091371,,DQ091496,DQ091580
ANG170,170,Rhipidoglossum xanthopollinium,ANGRAECINAE,EXACT_UNIQUE,DQ091370,,DQ091495,DQ091582
ANG171,171,Solenangis clavata,ANGRAECINAE,EXACT_UNIQUE,DQ091409,,DQ091534,DQ091666
ANG172,172,Solenangis wakefieldii,ANGRAECINAE,EXACT_UNIQUE,DQ091410,,DQ091535,DQ091667
ANG173,173,Sphyrarhynchus schliebenii,ANGRAECINAE,EXACT_UNIQUE,DQ091359,,DQ091484,
ANG174,174,Tridactyle bicaudata,ANGRAECINAE,EXACT_UNIQUE,DQ091388,,DQ091514,DQ091638
ANG175,175,Tridactyle filifolia,ANGRAECINAE,EXACT_UNIQUE,DQ091390,,DQ091516,DQ091641
ANG176,176,Ypsilopus longifolius,ANGRAECINAE,EXACT_UNIQUE,DQ091393,,DQ091519,DQ091636
ANG177,177,Ypsilopus viridiflorus,ANGRAECINAE,EXACT_UNIQUE,DQ091395,,,DQ091633
ANG178,178,Angraecum cf. humile,ANGRAECINAE,EXACT_UNIQUE,KT826762,KT826833,KT826902,
ANG179,179,Angraecum perparvulum,ANGRAECINAE,EXACT_UNIQUE,KT826764,KT826834,KT826903,
ANG180,180,Angraecum pterophyllum,ANGRAECINAE,EXACT_UNIQUE,KT826761,KT826832,KT826901,
ANG181,181,Angraecum rhynchoglossum,ANGRAECINAE,EXACT_UNIQUE,KT826763,,,
ANG182,182,Beclardia macrostachya,ANGRAECINAE,EXACT_UNIQUE,KT826827,KT826896,,
ANG183,183,Cryptopus elatus,ANGRAECINAE,EXACT_UNIQUE,KF558019,KF558063,KF558221,DQ091585
ANG184,184,Cryptopus paniculatus,ANGRAECINAE,EXACT_UNIQUE,KF557963,,KF558264,DQ091588
ANG185,185,Erasanthe henricii,ANGRAECINAE,EXACT_UNIQUE,,KF558102,KF558175,
ANG186,186,Lemurella pallidiflora,ANGRAECINAE,EXACT_UNIQUE,KT826828,KT826897,KT826965,
ANG187,187,Lemurella papillosa,ANGRAECINAE,EXACT_UNIQUE,KT826829,KT826898,KT826966,
ANG188,188,Neobathiea grandidierana,ANGRAECINAE,EXACT_UNIQUE,DQ091329,,DQ091453,DQ091589
ANG189,189,Oeonia rosea,ANGRAECINAE,EXACT_UNIQUE,KT826830,KT826899,,DQ091736
ANG190,190,Acampe ochracea,OUTGROUP,EXACT_UNIQUE,DQ091314,,DQ091438,DQ091707
ANG191,191,Aerides odorata,OUTGROUP,EXACT_UNIQUE,KF557954,KF558031,,
ANG192,192,Phalaenopsis cornu-cervi,OUTGROUP,EXACT_UNIQUE,KF558008,KF558082,,
ANG193,193,Polystachya fulvilabia,OUTGROUP,EXACT_UNIQUE,KF558010,KF558057,,GU556680
ANG194,194,Vanda tricolor,OUTGROUP,EXACT_UNIQUE,KC823021,,KC985407,
