tip_id,source_taxon,source_table_row,figure2_ordinal,figure2_states,figure2_marker_centre_y,figureS5_ordinal,figureS5_states,figureS5_marker_box
LINO061,linum gyaricum,61,40,YELLOW,726.5,83,YELLOW,1377|1805|1385|1812
LINO062,linum heterostylum,62,34,YELLOW,625.5,70,YELLOW,1377|1519|1385|1526
LINO063,linum hirsutum,63,103,PURPLE,1795.5,4,PURPLE,1377|71|1385|78
LINO064,linum hirsutum subsp. spathulatum,64,102,PURPLE,1778.5,5,PURPLE,1377|93|1385|99
LINO065,linum hologynum,65,98,BLUE|PURPLE,1710.5,13,PURPLE,1377|269|1385|275
LINO066,linum hypericifolium,66,106,PURPLE,1846.5,1,PURPLE,1377|5|1385|11
LINO067,linum kingii,67,25,YELLOW,471.5,61,YELLOW,1377|1322|1385|1328
LINO068,linum lanuginosum,68,82,PURPLE,1439.5,24,PURPLE|WHITE,1377|510|1385|516
LINO069,linum leonii,69,80,BLUE,1405.5,21,BLUE,1377|444|1385|451
LINO070,linum lewisii,70,81,PURPLE,1422.5,23,BLUE|WHITE,1377|488|1385|495
LINO071,linum liburnicum,71,66,PURPLE|YELLOW,1167.5,103,PURPLE,1377|2244|1385|2250
LINO072,linum littorale,72,17,YELLOW,336.5,56,YELLOW,1377|1212|1385|1219
LINO073,linum macraei,73,18,YELLOW,353.5,55,YELLOW,1377|1190|1385|1197
LINO074,linum marginale,74,97,BLUE|PURPLE,1693.5,14,BLUE|PURPLE,1377|291|1385|297
LINO075,linum maritimum,75,61,YELLOW,1083.5,99,YELLOW,1377|2156|1385|2163
LINO076,linum meletonis,76,88,BLUE|PURPLE,1540.5,30,BLUE|PURPLE,1377|642|1385|648
LINO077,linum mucronatum,77,51,YELLOW,913.5,87,YELLOW,1377|1892|1385|1899
LINO078,linum mumbyanum,78,55,YELLOW,981.0,95,YELLOW,1377|2068|1385|2075
LINO079,linum narbonense,79,101,PURPLE,1761.5,17,PURPLE,1377|356|1385|363
LINO080,linum nervosum,80,92,PURPLE|WHITE,1608.5,34,PURPLE|WHITE,1377|729|1385|736
LINO081,linum numidicum,81,57,YELLOW,1015.5,96,YELLOW,1377|2090|1385|2097
LINO082,linum nodiflorum,82,54,YELLOW,963.5,92,YELLOW,1377|2002|1385|2009
LINO083,linum obtusatum,83,85,BLUE|PURPLE,1489.5,26,BLUE|PURPLE,1377|554|1385|560
LINO084,linum oligophyllum,84,19,YELLOW,371.0,53,YELLOW,1377|1146|1385|1153
LINO085,linum olympicum,85,105,PURPLE,1829.5,6,PURPLE,1377|115|1385|121
LINO086,linum pallescens,86,87,PURPLE,1524.5,28,BLUE|PURPLE|WHITE,1377|598|1385|604
LINO087,linum perenne,87,79,BLUE,1388.5,22,BLUE,1377|466|1385|473
LINO088,linum prostratum,88,20,YELLOW,387.5,54,YELLOW,1377|1168|1385|1175
LINO089,linum pubescens,89,110,PINK|PURPLE,1913.5,9,PINK,1377|181|1385|187
LINO090,linum pungens,90,36,YELLOW,659.0,75,YELLOW,1377|1629|1385|1636
LINO091,linum punctatum,91,76,BLUE,1337.5,19,BLUE,1377|400|1385|407
LINO092,linum pycnophyllum,92,86,BLUE|PURPLE,1507.0,27,BLUE|PURPLE,1377|576|1385|582
LINO093,linum quadrifolium,93,26,YELLOW,489.5,67,YELLOW,1377|1454|1385|1460
LINO094,linum rupestre,94,23,YELLOW,438.0,59,YELLOW,1377|1278|1385|1285
LINO095,linum seljukorum,95,108,BLUE|PURPLE,1880.0,7,BLUE,1377|137|1385|143
LINO096,linum setaceum,96,69,YELLOW,1218.5,107,YELLOW,1377|2332|1385|2338
LINO097,linum stelleroides,97,111,PURPLE,1931.5,36,BLUE|PINK|PURPLE,1377|773|1385|780
LINO098,linum striatum,98,73,YELLOW,1286.5,76,YELLOW,1377|1651|1385|1658
LINO099,linum strictum,99,63,BLUE|YELLOW,1116.5,101,YELLOW,1377|2200|1385|2207
LINO100,linum subasperifolium,100,56,YELLOW,998.5,97,YELLOW,1377|2112|1385|2119
LINO101,linum suffruticosum,101,72,PINK|WHITE,1269.5,108,WHITE,1377|2353|1385|2360
LINO102,linum syriacum,102,50,YELLOW,896.5,88,YELLOW,1377|1915|1385|1921
LINO103,linum tauricum,103,41,YELLOW,743.5,84,YELLOW,1377|1827|1385|1833
LINO104,linum tenue,104,58,YELLOW,1031.5,98,YELLOW,1377|2134|1385|2141
LINO105,linum tenuifolium,105,71,PINK|WHITE,1252.5,109,PINK,1377|2375|1385|2382
LINO106,linum thesioides,106,27,YELLOW,505.5,68,YELLOW,1377|1475|1385|1482
LINO107,linum thunbergii,107,28,YELLOW,522.5,69,WHITE|YELLOW,1377|1498|1385|1504
LINO108,linum tommasinii,108,77,BLUE,1354.5,20,PURPLE,1377|422|1385|429
LINO109,linum tmoleum,109,89,BLUE|WHITE,1558.0,33,WHITE,1377|707|1385|714
LINO110,linum triflorum,110,53,YELLOW,947.5,91,YELLOW,1377|1980|1385|1987
LINO111,linum trigynum,111,60,YELLOW,1066.5,94,YELLOW,1377|2046|1385|2053
LINO112,linum unguiculatum,112,107,PURPLE,1863.5,2,PURPLE,1377|27|1385|34
LINO113,linum usitatissimum,113,94,BLUE|WHITE,1642.5,12,BLUE|WHITE,1377|246|1385|253
LINO114,linum velutinum,114,52,YELLOW,929.5,90,YELLOW,1377|1958|1385|1965
LINO115,linum volkensii,115,68,YELLOW,1201.5,105,YELLOW,1377|2288|1385|2294
LINO116,linum villarianum,116,96,BLUE,1677.0,11,BLUE,1377|225|1385|231
LINO117,linum villosum,117,39,YELLOW,709.5,73,YELLOW,1377|1585|1385|1592
LINO118,linum vernale,118,24,YELLOW,455.5,60,YELLOW,1377|1300|1385|1307
LINO119,linum virgatum,119,67,BLUE|YELLOW,1184.5,104,BLUE|PURPLE,1377|2265|1385|2272
LINO120,linum virgultorum,120,93,PURPLE,1625.5,35,PURPLE,1377|751|1385|758
LINO121,linum viscosum,121,109,PINK|PURPLE,1897.5,8,PINK,1377|159|1385|165
